ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes
100,set013-3-05-2020-A2_100.txt,T2,A-2,A,2,13,0.347528713,9246.7,2764.52,0,9246.7,0.899345335,10281.59,0.634646465,3/5/20,13:28:00,16:08:00,9600,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.047,N,25.2275238,-80.3283788,,6.41,3.25,8.62,11.65,L,
11,set013-3-05-2020-A2_11.txt,T2,A-2,A,2,13,0.384387541,3465.44,1310.6338,0,3465.44,0.401742169,8626.03,0.937761194,3/5/20,10:26:00,11:28:00,3720,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.049,N,25.1000151,-80.437522,,5.88,3.14,8.39,11.68,L,
322,set013-3-05-2020-A2_322.txt,T2,A-2,A,2,13,0,0,0,0,0,0,2228.67,0,3/5/20,9:49:00,10:22:00,1980,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.047,M,25.2734885,-80.3040957,,8.28,3.46,8.71,12.32,L,
355,set013-3-05-2020-A2_355.txt,T2,A-2,A,2,13,0.330744137,36.86,11.3094,0,36.86,0.016241678,2269.47,0.527983193,3/5/20,8:35:00,9:09:00,2040,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.034,N,25.1820931,-80.3631938,,5.69,2.94,7.27,10.38,L,
358,set013-3-05-2020-A2_358.txt,T2,A-2,A,2,13,0,0,0.6283,0,0,0,2288.19,0,3/5/20,12:50:00,13:25:00,2100,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.029,N,25.1820931,-80.3631938,,5.24,2.49,6.06,8.89,L,
382,set013-3-05-2020-A2_382.txt,T2,A-2,A,2,13,0.184564904,1797.14,316.0349,220.55,923.49,0.599968618,2995.39,0.395157233,3/5/20,16:18:00,17:09:00,3060,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,,0.037,N,24.96424,-80.5673321,,5.63,2.77,7.55,10.32,L,
50,set013-3-05-2020-A2_50.txt,T2,A-2,A,2,13,0,0,0,0,0,0,2224.59,0,3/5/20,9:12:00,9:46:00,2040,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.049,N,25.491362,-80.485821,,5.39,3.22,7.5,10.79,L,wings torn at the end
140,set013-3-05-2020-A3_140.txt,T2,A-3,A,3,13,0.379693963,32234.09,12063.36,93.11,29967.94,0.967137112,33329.39,0.668404255,3/5/20,12:51:00,22:05:20,33260,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,BC,,0.1,Y,25.1755702,-80.36780089,46,9.08,3.71,9.68,13.81,L,
204,set013-3-05-2020-A3_204.txt,T2,A-3,A,3,13,0.184402861,5739.2,990.2008,0,5739.2,0.644333398,8907.19,0.413355263,3/5/20,8:36:00,10:40:00,7440,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,BC,,0.037,N,24.9735748,-80.5539224,,5.79,2.7,7.65,10.51,L,thorax torn on one side
400,set013-3-05-2020-A3_400.txt,T2,A-3,A,3,13,0,0,0,0,0,0,6457.39,0,3/5/20,11:02:00,11:38:00,2160,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.045,N,25.1000151,-80.437522,,5.35,3.23,8.61,11.71,L,
15,set013-3-05-2020-A4_15.txt,T2,A-4,A,4,13,0.331280684,58.19,20.7339,0,29.61,0.025552974,2277.23,0.537008547,3/5/20,8:37:00,9:09:00,1920,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.046,N,25.1284578,-80.4080913,,6.53,3.08,8.08,11.31,L,
153,set013-3-05-2020-A4_153.txt,T2,A-4,A,4,13,0.728226251,952.14,86.7054,63.43,379.62,0.435732101,2185.15,1.396222222,3/5/20,10:27:00,11:00:00,1980,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.029,N,25.491362,-80.485821,,5.32,2.57,7.47,10.35,L,
154,set013-3-05-2020-A4_154.txt,T2,A-4,A,4,13,0.253346774,0,1.8849,0,0,0,6456.47,0,3/5/20,11:03:00,11:38:00,2100,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.029,N,25.491362,-80.485821,,5.2,2.62,6.58,9.22,L,wings torn at the end
164,set013-3-05-2020-A4_164.txt,T2,A-4,A,4,13,0.282922681,9566.9,2629.4355,0,5464.81,0.387303345,24701.31,1.308958333,3/5/20,15:13:00,18:18:32,11132,F,Lake Placid,Highlands,110N Main,K.elegans,Y,BC,,0.069,Y,26.298631,-81.36615,61,6.38,3.46,9.1,12.75,L,
28,set013-3-05-2020-A4_28.txt,T2,A-4,A,4,13,0.808954605,50.41,16.3358,0,34.11,0.021028788,2397.19,1.365869565,3/5/20,13:29:00,14:05:00,2160,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.035,N,25.19515,-80.345916,,5.5,2.9,7.57,10.73,L,wings torn at the end
30,set013-3-05-2020-A4_30.txt,T2,A-4,A,4,13,0,0,0,0,0,0,1927.35,0,3/5/20,14:42:00,15:01:00,1140,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.112,Y,25.19515,-80.345916,278,7.56,3.26,8.18,11.71,L,
352,set013-3-05-2020-A4_352.txt,T2,A-4,A,4,13,0.657493527,48.56,7.5396,0,34.78,0.023993636,2023.87,1.282244898,3/5/20,14:08:00,14:40:00,1920,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.033,N,25.1820931,-80.3631938,,5.51,2.75,7.11,9.94,L,
41,set013-3-05-2020-A4_41.txt,T2,A-4,A,4,13,0.500539379,411.75,38.3263,66.97,281.07,0.184807831,2227.99,1.336808511,3/5/20,9:50:00,10:22:00,1920,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.123,Y,25.491362,-80.485821,255,7.47,3.82,9.66,13.31,L,
425,set013-3-05-2020-A4_425.txt,T2,A-4,A,4,13,0.212829525,0,2.5132,0,0,0,2224.15,0.262887029,3/5/20,9:13:00,9:46:00,1980,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.042,N,25.19515,-80.345916,,6.17,2.91,7.57,10.44,L,
52,set013-3-05-2020-A4_52.txt,T2,A-4,A,4,13,0.38466296,682.92,28.2735,0,617.3,0.300423634,2273.19,0.6283,3/5/20,12:52:00,13:25:00,1980,M,Lake Placid,Highlands,110N Main,K.elegans,Y,B,,0.039,N,26.298631,-81.36615,,5.46,3,8.23,11.57,L,
183,set013-3-05-2020-B1_183.txt,T2,B-1,B,1,13,0.319885482,24036.45,7479.2832,0,24036.45,0.941466155,25530.87,0.541637931,3/5/20,9:14:00,15:58:00,24240,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,C,,0.039,N,28.7963435,-81.8778849,,5.59,2.99,7.82,11.02,L,
229,set013-3-05-2020-B1_229.txt,T2,B-1,B,1,13,0,0,0,0,0,0,2984.91,0,3/5/20,16:19:00,17:09:00,3000,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.099,Y,25.19515,-80.345916,347,8.17,3.48,9.37,13.09,L,
27,set013-3-05-2020-B1_27.txt,T2,B-1,B,1,13,0,0,0,0,0,0,3315.19,0,3/5/20,8:38:00,9:09:00,1860,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.088,Y,25.19515,-80.345916,158,7.58,3.55,8.72,12.28,L,
112,set013-3-05-2020-B2_112.txt,T2,B-2,B,2,13,0,0,0.6283,0,0,0,2978.39,0,3/5/20,16:20:00,17:09:00,2940,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.083,Y,25.1000151,-80.437522,241,7.94,3.27,8.52,11.96,L,
