"","mass_per","No","T1","Twice"
"51",8.06451612903227,0.722075356745068,0.133778222816684,0.144146420438249
"52",8.97435897435898,0.716340248226161,0.137753534643509,0.145906217130329
"54",9.72222222222221,0.711561735416915,0.14108988001145,0.147348384571635
"58",13.3333333333333,0.687681023447915,0.158084663966664,0.15423431258542
"60",13.5135135135135,0.68645494139297,0.15897141186593,0.1545736467411
"61",13.6986301369863,0.685191902271553,0.159886318199357,0.154921779529089
"63",14.9425287356322,0.676617042420617,0.166135830222199,0.157247127357184
"64",17.1428571428571,0.661081631978671,0.177625679462635,0.161292688558694
"65",17.7215189873418,0.656919884801176,0.180739842426872,0.162340272771952
"69",23.0769230769231,0.616990777472268,0.211378013662621,0.171631208865111
"70",23.75,0.6118031662716,0.215458063688963,0.172738770039437
"77",32.6530612244898,0.540298402418966,0.273977772782681,0.185723824798353
"80",37.5,0.499744115122718,0.309048414024368,0.191207470852914
"81",43.5294117647059,0.448682341410449,0.355176236809469,0.196141421780083
"91",74.5098039215687,0.213592981494623,0.601232204677858,0.185174813827519
"2",-36.1904761904762,0.783327734134414,0.0403943439098878,0.176277921955698
"4",-34.3434343434343,0.775173971882035,0.0431145377094814,0.181711490408484
"5",-28.8888888888889,0.749633191592738,0.0521286073271105,0.198238201080152
"14",-21.2121212121212,0.709939624297662,0.0676038046813112,0.222456571021027
"17",-14.7368421052632,0.673085670253749,0.083555567531843,0.243358762214408
"19",-12.9032258064516,0.662107914551084,0.0886018044290628,0.249290281019853
"24",-8.10810810810811,0.632329621255041,0.102975265259386,0.264695113485574
"25",-6.06060606060607,0.619166595089806,0.10965018247697,0.271183222433223
"30",-3.63636363636364,0.603258924731099,0.117982592788356,0.278758482480545
"47",4.34782608695653,0.548704748648517,0.14881354094313,0.302481710408352
"56",11.1111111111111,0.500526807731564,0.179063988014512,0.320409204253924
"71",23.8095238095238,0.408282649698017,0.245679190528808,0.346038159773174
"72",26.0869565217391,0.391872103648757,0.258853054964756,0.349274841386486
"73",28.7878787878788,0.372588178261104,0.274897497839609,0.352514323899287
"74",30.188679245283,0.362681949313302,0.283386572129198,0.353931478557501
"75",30.3571428571428,0.361495555165726,0.284414817305545,0.354089627528729
"76",31.3131313131313,0.354784563908599,0.290278665848999,0.354936770242402
"78",33.3333333333333,0.340732352573284,0.302824300906575,0.35644334652014
"79",35.5932203389831,0.325245460231246,0.317086727235197,0.357667812533556
"82",45.7627118644068,0.259381618383212,0.383494045141849,0.357124336474938
"84",50,0.234157448927766,0.411796509075626,0.354046041996608
"86",58.974358974359,0.185757816597428,0.471759162080659,0.342483021321913
"87",59.0909090909091,0.185176319214282,0.472532192796099,0.342291487989619
"88",60,0.180682916199391,0.478553142950641,0.340763940849968
"89",64.0625,0.161522216504387,0.505233566783247,0.333244216712365
"90",64.2857142857143,0.160513030885855,0.506687083579428,0.332799885534717
"92",86.4864864864865,0.0818215464336768,0.641079957410297,0.277098496156026
"93",107.692307692308,0.0398687301313769,0.744385402145966,0.215745867722657
