average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0.183725206,538.9,23.2471,219.5,221.5,0.299388889,1800,0.330684211,1,set26-10-21-19-A1.txt,111
0.358905969,3502.7,1217.6454,0,3502.7,0.972972222,3600,0.523583333,3,set51-10-29-19-B3.txt,111
0.364163836,338.9,111.2091,87.7,87.7,0.062759259,5400,0.6283,4,set68-11-04-19-B4.txt,111
0.24923897,1737.1,427.8723,0,1737.1,0.965055556,1800,0.349055556,4,set6-10-16-19-A4.txt,113
0.339240341,3544.4,1191.8851,0,3544.4,0.984555556,3600,0.448785714,4,set44-10-25-19-A4.txt,113
0.215066846,4143,854.488,139,3628,0.767222222,5400,0.897571429,1,set61-10-31-19-A1.txt,113
0,0,0,0,0,0,3600,0,4,set41-10-25-19-B4.txt,114
0,0,0,0,0,0,5400,0,3,set60-10-31-19-A3.txt,114
0.29097256,319.1,23.8754,71.3,240.8,0.177277778,1800,0.483307692,4,set14-10-17-19-B4.txt,116
0.298543119,3541.8,1019.1026,0,3541.8,0.983833333,3600,0.483307692,4,set37-10-24-19-B4.txt,116
0.324627889,1808.2,33.9282,0,1166.4,0.334851852,5400,0.369588235,4,set68-11-04-19-A4.txt,116
0.345925275,407.3,3.1415,0,403.6,0.113138889,3600,0.483307692,4,set35-10-23-19-B4.txt,118
0.305682526,9,2.5132,0,9,0.001666667,5400,0.698111111,1,set55-10-30-19-B1.txt,118
0.157173233,0,1.8849,0,0,0,1800,0.153243902,1,set30-10-21-19-A1.txt,119
0,0,0,0,0,0,3600,0,3,set48-10-28-19-B3.txt,119
0,0,0.6283,0,0,0,5400,0,2,set66-11-01-19-A2.txt,119
0.370945165,462.9,82.9356,212.3,223.4,0.257166667,1800,0.448785714,4,set16-10-18-19-A4.txt,120
0.294224793,1274.2,208.5956,62.6,517,0.353944444,3600,1.047166667,4,set43-10-25-19-B4.txt,120
0.274243814,4230.9,1120.8872,191.9,3941,0.7835,5400,0.523583333,1,set62-11-01-19-B1.txt,120
0,0,0,0,0,0,1800,0,3,set20-10-18-19-A3.txt,123
0.217119169,23.4,6.9113,0,20.7,0.0065,3600,0.285590909,3,set39-10-24-19-A3.txt,123
0.278597668,4668.9,8.7962,0,4615.3,0.864611111,5400,0.369588235,4,set56-10-30-19-A4.txt,123
0.327239583,517,4.3981,0,515.2,0.143611111,3600,0.349055556,3,set49-10-28-19-A3.txt,124
0.32168053,3251.2,5.0264,0,1877.3,0.602074074,5400,0.369588235,1,set70-11-04-19-B1.txt,124
0.265430593,526.4,81.679,67.4,232.3,0.292444444,1800,0.369588235,3,set16-10-18-19-A3.txt,125
