ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,
209,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
207,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
153,D,10.17,10:30,10,B-2,F,Lake Wales,N,,,no recording,
333,C,10.17,10:30,10,B-3,F,Lake Placid,N,,,no recording,
350,D,NA,NA,NA,NA,F,Lake Placid,NA,Y,,,
347,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
379,D,NA,NA,NA,NA,F,Leesburg,NA,Y,,,
8,A,10.17,10:30,10,B-4,F,Plantation Key,N,,,no recording,
277,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
217,E,10.17,11:20,11,A-1,F,North Key Largo,N,,,no recording,
66,Petri1,10.17,11:20,11,A-2,F,North Key Largo,N,,,no recording,
371,Petri2,NA,NA,NA,NA,M,Leesburg,NA,Y,,,
56,B,10.17,11:20,11,A-3,M,Key Largo,N,,,no recording,
384,D,10.17,11:20,11,A-4,M,Leesburg,N,,,no recording,
327,C,10.17,11:20,11,B-1,M,Lake Placid,N,Y,,no recording,
283,C,10.17,11:20,11,B-2,F,North Key Largo,N,,,no recording,
211,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
178,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
106,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
314,C,10.17,11:20,11,B-3,F,Lake Placid,N,,,no recording,
14,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
410,D,10.17,11:20,11,B-4,F,Gainesville,N,,,no recording,
3,Petri1,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
332,C,10.17,12:20,12,A-1,M,Lake Placid,Y,,continuous,,
149,D,10.17,12:20,12,A-2,F,Lake Wales,N,,,,
226,E,10.17,12:20,12,A-3,M,North Key Largo,Y,,bursts,,
287,Petri2,10.17,12:20,12,A-4,M,North Key Largo,N,,,,
181,Petri1,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
185,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
386,D,10.17,12:20,12,B-1,M,Leesburg,N,Y,,,
101,A,10.17,12:20,12,B-2,M,Homestead,Y,,continuous,,
218,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
216,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
13,A,10.17,12:20,12,B-3,M,Plantation Key,N,,,,
41,Petri1,10.17,12:20,12,B-4,M,Key Largo,N,,,,
385,D,NA,NA,NA,NA,F,Leesburg,NA,Y,,,
