ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude
229,set016-10-18-19-A1.txt,1,A,A-1,16,0,0,0,0,0,0,1800.0,0,E,10.18,10:55,F,North Key Largo,Carysfort,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981
275,set016-10-18-19-A2.txt,2,A,A-2,16,0,0,0,0,0,0,1800.0,0,C,10.18,10:55,F,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
125,set016-10-18-19-A3.txt,3,A,A-3,16,0.26543059292345400,526.4000000000000,81.67900000000000,67.40000000000000,232.30000000000000,0.2924444444444440,1800.0,0.3695882352941200,B,10.18,10:55,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562
120,set016-10-18-19-A4.txt,4,A,A-4,16,0.37094516504252900,462.90000000000000,82.93560000000000,212.30000000000000,223.40000000000000,0.2571666666666670,1800.0,0.44878571428572200,A,10.18,10:55,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562
375,set017-10-18-19-A1.txt,1,A,A-1,17,0,0,0.6283,0,0,0,1800.0,0,Petri2,10.18,11:45,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
331,set017-10-18-19-A2.txt,2,A,A-2,17,0,0,0.6283,0,0,0,1800.0,0,C,10.18,11:45,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
69,set017-10-18-19-A3.txt,3,A,A-3,17,0,0,0,0,0,0,1800.0,0,Petri1,10.18,11:45,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,Y,,25.1755048,-80.36782055
67,set017-10-18-19-A4.txt,4,A,A-4,17,0.2812056783108850,24.70000000000000,5.6547,0,19.30000000000000,0.013722222222222200,1800.0,0.5711818181818060,Petri1,10.18,11:45,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,,,,,25.1755048,-80.36782055
187,set017-10-18-19-B1.txt,1,B,B-1,17,0,0,0,0,0,0,1800.0,0,B,10.18,11:45,F,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,Y,,25.18229498,-80.36369887
416,set017-10-18-19-B2.txt,2,B,B-2,17,0.30609837217139300,421.10000000000000,13.194300000000000,0,363.3000000000000,0.2339444444444450,1800.0,0.4487857142856850,D,10.18,11:45,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211
95,set017-10-18-19-B3.txt,3,B,B-3,17,0.4822180800754950,1796.7,853.231399999991,0,1796.7,0.9981666666666670,1800.0,0.6283,A,10.18,11:45,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562
102,set017-10-18-19-B4.txt,4,B,B-4,17,0,0,0,0,0,0,1800.0,0,A,10.18,11:45,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
34,set018-10-18-19-A1.txt,1,A,A-1,18,0.20352455590386500,0,3.7698000000000000,0,0,0,1800.0,0.21665517241379500,A,10.18,1:30,F,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908
249,set018-10-18-19-A2.txt,2,A,A-2,18,0.2552468750000000,0,1.8849,0,0,0,1800.0,0.19634375000000000,E,10.18,1:30,F,North Key Largo,DD -inter,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826
126,set018-10-18-19-A3.txt,3,A,A-3,18,0.4502338384409250,871.9000000000000,382.00640000000400,0,865.1000000000000,0.4843888888888890,1800.0,0.5711818181818360,B,10.18,1:30,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562
190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800.0,0,E,10.18,1:30,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887
288,set018-10-18-19-B1.txt,1,B,B-1,18,0.29501082151486300,942.1000000000000,13.194300000000000,155.1,783.1,0.5233888888888890,1800.0,0.5711818181817470,Petri2,10.18,1:30,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,,,,,25.28636983,-80.29077075
290,set018-10-18-19-B2.txt,2,B,B-2,18,0,0,0,0,0,0,1800.0,0,Petri2,10.18,1:30,M,Lake Placid,Barber shop,K. elegans,N,Y,,,,,,,,27.298660028,-81.36611608
39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800.0,0,Petri1,10.18,1:30,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596
78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800.0,0,B,10.18,1:30,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055
221,set019-10-18-19-A1.txt,1,A,A-1,19,0,0,0,0,0,0,1800.0,0,E,10.18,2:15,F,North Key Largo,Carysfort,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981
81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532
302,set019-10-18-19-A3.txt,3,A,A-3,19,0.44354049200112000,1796.3,787.8881999999940,0,1796.3,0.9979444444444440,1800.0,0.5711818181818360,C,10.18,2:15,F,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,Y,,27.298660028,-81.36611608
271,set019-10-18-19-A4.txt,4,A,A-4,19,0.2148956433284380,13.300000000000000,2.5132,0,13.300000000000000,0.007388888888888860,1800.0,0.3926874999999670,C,10.18,2:15,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
85,set019-10-18-19-B1.txt,1,B,B-1,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,F,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,,,Y,,25.173694,-80.371532
109,set019-10-18-19-B2.txt,2,B,B-2,19,0.17765275576497400,1524.7,3.1415000000000000,0,1515.4,0.8470555555555560,1800.0,0.27317391304347800,A,10.18,2:15,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562
351,set019-10-18-19-B3.txt,3,B,B-3,19,0.4574335442134520,1239.0,566.7266000000060,0,1236.1,0.6883333333333330,1800.0,0.5235833333334130,D,10.18,2:15,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
235,set019-10-18-19-B4.txt,4,B,B-4,19,0.19014134578043600,1671.2,305.3538000000010,0,1671.2,0.9284444444444450,1800.0,0.3306842105263150,E,10.18,2:15,F,North Key Largo,Carysfort,C. corindum ,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981
73,set020-10-18-19-A1.txt,1,A,A-1,20,0,0,0,0,0,0,1800.0,0,B,10.18,3:00,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055
