ID,set_number,chamber,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,trial_type,latitude,longitude
442,002,B-3,02.18.2020,15:55:00,16:29:00,2040.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.029,N,T1,25.2565615,-80.3108042
14,002,B-4,02.18.2020,15:56:00,16:29:00,1980.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.023,N,T1,25.1000151,-80.437522
160,003,A-2,02.19.2020,8:23:00,08:58:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.045,N,T1,25.491362,-80.485821
443,003,A-3,02.19.2020,8:24:00,09:32:00,4080.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,BC,,0.038,N,T1,25.2565615,-80.3108042
444,003,A-4,02.19.2020,8:24:00,09:21:00,3420.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.036,N,T1,25.2565615,-80.3108042
326,003,B-1,02.19.2020,8:25:00,16:29:00,29040.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.085,Y,T1,25.2734885,-80.3040957
115,003,B-2,02.19.2020,8:25:00,08:58:00,1980.0,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.087,Y,T1,25.1000151,-80.437522
395,003,B-3,02.19.2020,8:26:00,08:58:00,1920.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.048,N,T1,25.1000151,-80.437522
151,003,B-4,02.19.2020,8:26:00,10:44:00,8280.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,C,,0.095,N,T1,25.491362,-80.485821
238,003,A-2,02.19.2020,9:00:00,09:31:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.034,N,T1,25.1755702,-80.36780089
311,003,B-2,02.19.2020,9:00:00,09:31:00,1860.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.036,N,T1,25.1000151,-80.437522
129,003,B-3,02.19.2020,9:00:00,09:31:00,1860.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.036,N,T1,25.2565615,-80.3108042
441,003,A-2,02.19.2020,9:33:00,10:47:00,4440.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.052,N,T1,25.2565615,-80.3108042
204,003,A-3,02.19.2020,9:34:00,10:08:00,2040.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,B,,0.033,N,T1,24.9735748,-80.5539224
123,003,A-4,02.19.2020,9:35:00,10:08:00,1980.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.030,N,T1,25.1820931,-80.3631938
28,003,B-2,02.19.2020,9:35:00,10:08:00,1980.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.035,N,T1,25.19515,-80.345916
269,003,B-3,02.19.2020,9:36:00,17:40:00,29040.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,SENSOR: lost voltage reading ~ 5:10 PM (17:10) then resolved in 5 min,0.059,N,T1,27.298631,-81.36615
142,003,A-3,02.19.2020,10:10:00,15:43:00,19980.0,F,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.082,N,T1,25.2275238,-80.3283788
401,003,A-4,02.19.2020,10:11:00,10:44:00,1980.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.096,Y,T1,24.96424,-80.5673321
312,003,B-2,02.19.2020,10:12:00,11:30:00,4680.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.038,N,T1,25.1000151,-80.437522
196,003,A-4,02.19.2020,10:44:00,11:32:00,2880.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.040,N,T1,29.66200224,-82.347313
347,003,B-4,02.19.2020,10:46:00,11:33:00,2820.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,B,,0.048,N,T1,25.2275238,-80.3283788
295,003,A-2,02.19.2020,10:48:00,14:19:00,12660.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.033,N,T1,29.66200224,-82.347313
12,003,A-4,02.19.2020,11:34:00,13:47:00,7980.0,F,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.074,N,T1,25.1000151,-80.437522
432,003,B-2,02.19.2020,11:35:00,12:24:00,2940.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.039,N,T1,25.2734885,-80.3040957
412,003,B-4,02.19.2020,11:36:00,17:40:00,21840.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.030,N,T1,25.1820931,-80.3631938
258,003,B-2,02.19.2020,12:25:00,12:55:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.025,N,T1,25.491362,-80.485821
45,003,B-2,02.19.2020,13:26:00,14:09:00,2580.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,BC,,0.033,N,T1,25.491362,-80.485821
109,003,A-4,02.19.2020,13:56:00,14:29:00,1980.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.055,N,T1,24.96424,-80.5673321
27,003,A-2,2.19.2020,14:30:00,15:00:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.120,Y,T1,25.19515,-80.345916
11,003,A-4,2.19.2020,14:31:00,15:15:00,2640.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.043,N,T1,25.1000151,-80.437522
152,003,B-2,2.19.2020,14:32:00,15:00:00,1680.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.029,N,T1,25.491362,-80.485821
322,003,A-2,2.19.2020,15:01:00,17:08:00,7620.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.046,N,T1,25.2734885,-80.3040957
418,003,B-2,2.19.2020,15:02:00,21:03:42,21702.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.046,N,T1,25.1820931,-80.3631938
33,003,A-4,2.19.2020,15:31:00,22:01:46,23446.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.044,N,T1,25.2565615,-80.3108042
292,003,A-3,2.19.2020,16:01:00,16:31:00,1800.0,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.088,N,T1,29.66200224,-82.347313
227,003,A-3,2.19.2020,16:31:00,17:01:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.112,Y,T1,25.19515,-80.345916
274,004,A-2,2.20.2020,8:15:00,08:45:00,1800.0,M,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.042,N,T1,27.8967403,-81.5804654
1,004,A-3,2.20.2020,8:15:00,08:50:00,2100.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.038,N,T1,24.9735748,-80.5539224
69,004,A-4,2.20.2020,8:15:00,08:45:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,B,,0.060,N,T1,27.8967403,-81.5804654
224,004,B-1,2.20.2020,8:15:00,09:26:00,4260.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.047,N,T1,25.2734885,-80.3040957
159,004,B-2,2.20.2020,8:15:00,08:45:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.032,N,T1,25.491362,-80.485821
107,004,B-3,2.20.2020,8:15:00,08:45:00,1800.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.036,N,T1,24.96424,-80.5673321
409,004,B-4,2.20.2020,8:15:00,08:45:00,1800.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.029,N,T1,25.1284578,-80.4080913
149,004,A-2,2.20.2020,8:50:00,09:27:00,2220.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.082,Y,T1,25.286747,-80.290592
371,004,A-4,2.20.2020,8:51:00,09:27:00,2160.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.031,N,T1,27.298631,-81.36615
320,004,B-2,2.20.2020,8:52:00,09:27:00,2100.0,M,Key Largo,Key Largo,JP,C. corindum,N,,,0.047,N,T1,25.1284578,-80.4080913
44,004,B-3,2.20.2020,8:53:00,09:27:00,2040.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.062,N,T1,25.491362,-80.485821
375,004,B-4,2.20.2020,8:54:00,18:46:12,35532.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.063,N,T1,27.8967403,-81.5804654
71,004,A-3,2.20.2020,8:55:00,17:18:47,30227.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,C,,0.035,N,T1,28.7963435,-81.8778849
104,004,A-2,2.20.2020,9:30:00,10:05:00,2100.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,,0.057,N,T1,24.9735748,-80.5539224
360,004,A-4,2.20.2020,9:30:00,10:05:00,2100.0,F,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.106,Y,T1,25.1820931,-80.3631938
155,004,B-1,2.20.2020,9:30:00,10:05:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.092,Y,T1,25.491362,-80.485821
257,004,B-2,2.20.2020,9:30:00,10:05:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,BC,,0.042,N,T1,25.491362,-80.485821
396,004,B-3,2.20.2020,9:30:00,10:05:00,2100.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.051,N,T1,25.1000151,-80.437522
50,004,A-2,2.20.2020,10:08:00,10:41:00,1980.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.048,N,T1,25.491362,-80.485821
170,004,A-4,2.20.2020,10:08:00,10:42:00,2040.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,B,,0.045,N,T1,27.298631,-81.36615
229,004,B-1,2.20.2020,10:09:00,10:42:00,1980.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.095,Y,T1,25.19515,-80.345916
66,004,B-2,2.20.2020,10:10:00,10:42:00,1920.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,B,,0.036,N,T1,27.8967403,-81.5804654
176,004,B-3,2.20.2020,10:11:00,10:43:00,1920.0,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.058,Y,T1,27.8967403,-81.5804654
145,004,A-2,2.20.2020,10:46:00,18:38:39,28359.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.046,N,T1,25.2275238,-80.3283788
244,004,A-4,2.20.2020,10:47:00,11:21:00,2040.0,F,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.115,Y,T1,25.2275238,-80.3283788
132,004,B-1,2.20.2020,10:48:00,11:21:00,1980.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.074,N,T1,25.2734885,-80.3040957
376,004,B-2,2.20.2020,10:49:00,11:22:00,1980.0,M,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.031,N,T1,27.8967403,-81.5804654
425,004,B-3,2.20.2020,10:50:00,11:22:00,1920.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.027,N,T1,25.19515,-80.345916
167,004,A-4,2.20.2020,11:24:00,11:56:00,1920.0,M,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.029,N,T1,27.298631,-81.36615
334,004,B-1,2.20.2020,11:24:00,22:01:55,38275.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.056,N,T1,25.19515,-80.345916
406,004,B-2,2.20.2020,11:25:00,11:56:00,1860.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.032,N,T1,25.1000151,-80.437522
434,005,A-2,2.21.2020,8:28:00,09:00:00,1920.0,,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.037,N,T1,25.2734885,-80.3040957
126,005,A-3,2.21.2020,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.074,Y,T1,25.2565615,-80.3108042
393,005,A-4,2.21.2020,8:28:00,09:00:00,1920.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.100,Y,T1,24.96424,-80.5673321
226,005,B-1,2.21.2020,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.057,N,T1,25.19515,-80.345916
125,005,B-2,2.21.2020,8:28:00,09:30:00,3720.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.043,N,T1,25.1820931,-80.3631938
389,005,B-3,2.21.2020,8:28:00,09:00:00,1920.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.105,N,T1,24.96424,-80.5673321
91,005,B-4,2.21.2020,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.079,Y,T1,25.286747,-80.290592
86,005,A-2,2.21.2020,9:04:00,09:39:00,2100.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.033,N,T1,29.66200224,-82.347313
102,005,A-3,2.21.2020,9:05:00,09:39:00,2040.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,B,,0.043,N,T1,24.9735748,-80.5539224
271,005,A-4,2.21.2020,9:06:00,12:34:00,12480.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.050,N,T1,27.8967403,-81.5804654
5,005,B-1,2.21.2020,9:07:00,09:39:00,1920.0,F,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,DATA COL: did not fly from the windaq file,0.087,Y,T1,24.9735748,-80.5539224
332,005,B-3,2.21.2020,9:08:00,09:57:00,2940.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.029,N,T1,25.19515,-80.345916
41,005,B-4,2.21.2020,9:08:00,09:39:00,1860.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,DATA COL: did not fly from the windaq file but recording also had voltage problem,0.122,Y,T1,25.491362,-80.485821
216,005,A-2,2.21.2020,9:41:00,10:17:00,2160.0,M,Key Largo,Key Largo,JP,C. corindum,N,,,0.047,N,T1,25.1284578,-80.4080913
6,005,A-3,2.21.2020,9:41:00,11:14:00,5580.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,DATA COL: time_end from windaq file,0.042,N,T1,24.96424,-80.5673321
351,005,B-1,2.21.2020,9:42:00,13:13:00,12660.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,BC,,0.034,N,T1,25.1820931,-80.3631938
306,005,B-2,2.21.2020,9:42:00,13:12:00,12600.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,BUG: flying in place at 10:23 - look at windaq file to see what flying-in-place motion looks like; time_end from windaq file,0.041,N,T1,24.96424,-80.5673321
248,005,B-4,2.21.2020,9:43:00,10:48:00,3900.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.037,N,T1,25.1820931,-80.3631938
433,005,A-2,2.21.2020,10:18:00,10:49:00,1860.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.035,N,T1,25.2734885,-80.3040957
321,005,B-3,2.21.2020,10:19:00,10:49:00,1800.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.050,Y,T1,25.2734885,-80.3040957
45,005,A-2,2.21.2020,10:50:00,11:20:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,PAINT: paint fell off between 20-30 min into the trial,0.031,N,T1,25.491362,-80.485821
109,005,B-3,2.21.2020,10:50:00,11:20:00,1800.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.053,Y,T1,24.96424,-80.5673321
9,006,A-1,2.24.2020,8:34:00,12:19:00,13500.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,,0.043,N,T1,24.96424,-80.5673321
218,006,A-2,2.24.2020,8:34:00,09:13:00,2340.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.046,N,T1,25.1284578,-80.4080913
