filename,channel_num,channel_letter,channel_chamber,ID,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set014-10-17-19-A1.txt,1,A,A-1,21,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A2.txt,2,A,A-2,264,0.19039393939393873,0,4.3980999999999995,0,0,0,1800.0,0
set014-10-17-19-A3.txt,3,A,A-3,269,0,0,0,0,0,0,1800.0,0
set014-10-17-19-A4.txt,4,A,A-4,155,0.1494339715346225,29.399999999999956,9.4245,0,13.100000000000001,0.016333333333333307,1800.0,0.21665517241379306
set014-10-17-19-B1.txt,1,B,B-1,381,0,0,0,0,0,0,1800.0,0
set014-10-17-19-B2.txt,2,B,B-2,387,0.22101169072138274,779.1999999999999,11.937699999999998,0,742.3,0.4328888888888889,1800.0,0.29919047619047623
set014-10-17-19-B3.txt,3,B,B-3,68,0.4132420937356424,224.8,89.21859999999997,224.8,224.8,0.1248888888888889,1800.0,1.2566
set014-10-17-19-B4.txt,4,B,B-4,116,0.29097255976338277,319.1,23.87539999999999,71.29999999999998,240.80000000000007,0.17727777777777778,1800.0,0.48330769230768805
set016-10-18-19-A1.txt,1,A,A-1,229,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A2.txt,2,A,A-2,275,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A3.txt,3,A,A-3,125,0.26543059292345356,526.3999999999999,81.67900000000002,67.39999999999998,232.29999999999995,0.2924444444444444,1800.0,0.3695882352941201
set016-10-18-19-A4.txt,4,A,A-4,120,0.37094516504252883,462.90000000000003,82.93560000000001,212.30000000000007,223.39999999999998,0.2571666666666667,1800.0,0.44878571428572156
set017-10-18-19-A1.txt,1,A,A-1,375,0,0,0.6283,0,0,0,1800.0,0
set017-10-18-19-A2.txt,2,A,A-2,331,0,0,0.6283,0,0,0,1800.0,0
set017-10-18-19-A3.txt,3,A,A-3,69,0,0,0,0,0,0,1800.0,0
set017-10-18-19-A4.txt,4,A,A-4,67,0.2812056783108851,24.70000000000001,5.6547,0,19.30000000000001,0.013722222222222228,1800.0,0.5711818181818064
set017-10-18-19-B1.txt,1,B,B-1,187,0,0,0,0,0,0,1800.0,0
set017-10-18-19-B2.txt,2,B,B-2,416,0.30609837217139274,421.10000000000014,13.194299999999997,0,363.3000000000002,0.2339444444444445,1800.0,0.4487857142856851
set017-10-18-19-B3.txt,3,B,B-3,95,0.4822180800754951,1796.7,853.231399999991,0,1796.7,0.9981666666666666,1800.0,0.6283
set017-10-18-19-B4.txt,4,B,B-4,102,0,0,0,0,0,0,1800.0,0
set018-10-18-19-A1.txt,1,A,A-1,34,0.20352455590386512,0,3.7697999999999996,0,0,0,1800.0,0.21665517241379478
set018-10-18-19-A2.txt,2,A,A-2,249,0.2552468749999999,0,1.8849,0,0,0,1800.0,0.19634374999999982
set018-10-18-19-A3.txt,3,A,A-3,126,0.4502338384409245,871.8999999999999,382.00640000000374,0,865.0999999999999,0.4843888888888888,1800.0,0.5711818181818359
