,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
121,275,set046-10-28-19-A1.txt,1,A,A-1,46,0,0,0,0,0,0,3600.0,0,,10.28,9:10am,F,North Key Largo,DD,C. corindum ,N,,,,,0.086,N,Y,,25.28636983,-80.29077075,C.corindum,F,9.35,3.78,10.19,14.01,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
91,101,set046-10-28-19-A3.txt,3,A,A-3,46,0.243,3596.1,839.409,0,3596.1,0.999,3600.0,0.393,,10.28,9:10am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,0.045,N,,,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
98,258,set046-10-28-19-A4.txt,4,A,A-4,46,0,0,0,0,0,0,3600.0,0,P,10.28,9:10am,M,North Key Largo,DD,C. corindum ,N,,,,,0.048,N,,,25.28636983,-80.29077075,C.corindum,M,6.60,3.23,8.34,11.71,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
28,105,set046-10-28-19-B1.txt,1,B,B-1,46,0,0,0,0,0,0,3599.3,0,,10.28,9:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.102,N,Y,,25.491968,-80.48562,K.elegans,F,8.02,3.69,9.86,13.57,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
254,234,set046-10-28-19-B3.txt,3,B,B-3,46,0,0,0,0,0,0,3599.3,0,,10.28,9:10am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.121,N,Y,,25.25647566,-80.31068981,C.corindum,F,8.64,3.99,9.71,13.56,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
42,261,set047-10-28-19-A1.txt,1,A,A-1,47,0.438,3598.3,1552.529,0,3598.3,1.0,3600.0,0.571,,10.28,10:20am,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; 60+ min,,0.046,N,,,25.28636983,-80.29077075,C.corindum,M,5.81,3.18,7.82,10.83,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
271,154,set047-10-28-19-A2.txt,2,A,A-2,47,0,0,0.628,0,0,0,3600.0,0,,10.28,10:20am,F,Lake Wales,Polk,K. elegans,N,,,,,0.067,N,Y,,27.903346,-81.589461,K.elegans,F,7.72,3.54,10.05,13.24,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
342,399,set047-10-28-19-A4.txt,4,A,A-4,47,0,0,0,0,0,0,3600.0,0,,10.28,10:20am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.046,N,,,29.661821,-82.347211,K.elegans,M,6.54,3.36,8.93,12.33,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
151,102,set047-10-28-19-B3.txt,3,B,B-3,47,0,0,0,0,0,0,3599.6,0,,10.28,10:20am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.138,N,Y,,25.491968,-80.48562,K.elegans,F,8.54,3.59,9.63,13.36,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
164,288,set047-10-28-19-B4.txt,4,B,B-4,47,0.246,3594.7,862.028,0,3594.7,0.999,3599.6,0.37,P,10.28,10:20am,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; 60+ min,,0.043,N,,,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
230,128,set048-10-28-19-B1.txt,1,B,B-1,48,0,0,0.628,0,0,0,3600.0,0,,10.28,11:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.042,N,,,25.491968,-80.48562,K.elegans,M,5.88,2.89,7.94,10.62,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
189,73,set048-10-28-19-B2.txt,2,B,B-2,48,0,0,0.628,0,0,0,3600.0,0,,10.28,11:30am,M,North Key Largo,Dagny Trellis,C. corindum ,N ,,,,,0.045,N,,,25.1755048,-80.36782055,C.corindum,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
322,119,set048-10-28-19-B3.txt,3,B,B-3,48,0,0,0,0,0,0,3600.0,0,,10.28,11:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.039,N,,,25.491968,-80.48562,K.elegans,M,5.57,3.04,8.33,11.11,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
343,278,set049-10-28-19-A1.txt,1,A,A-1,49,0,0,0,0,0,0,3600.0,0,,10.28,2:20pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.037,N,,,25.28636983,-80.29077075,C.corindum,M,5.69,2.88,7.83,10.83,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
101,264,set049-10-28-19-A2.txt,2,A,A-2,49,0,0,0,0,0,0,3600.0,0,,10.28,2:20pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.044,N,,,25.28636983,-80.29077075,C.corindum,M,5.95,3.05,8.21,11.33,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
345,124,set049-10-28-19-A3.txt,3,A,A-3,49,0.327,517.0,4.398,0,515.2,0.144,3600.0,0.349,,10.28,2:20pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.049,N,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
260,408,set049-10-28-19-B2.txt,2,B,B-2,49,0,0,0,0,0,0,3600.0,0,,10.28,2:20pm,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.045,N,,,29.661821,-82.347211,K.elegans,M,6.16,3.30,8.42,11.70,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
154,249,set049-10-28-19-B3.txt,3,B,B-3,49,0,0,0,0,0,0,3600.0,0,,10.28,2:20pm,F,North Key Largo,DD -inter,C. corindum ,N,,,,,0.053,N,Y,,25.252842,-80.311826,C.corindum,F,8.22,3.50,8.73,12.27,L,,03.23.2020,03.26.2020,AB,25.252842,-80.311826
19,132,set049-10-28-19-B4.txt,4,B,B-4,49,0,0,0.628,0,0,0,3600.0,0,,10.28,2:20pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.049,N,,,25.491968,-80.48562,K.elegans,M,5.75,3.32,9.04,11.98,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
32,99,set005-10-16-19-A1.txt,1,A,A-1,5,0.417,548.8,219.905,0,548.8,0.305,1800.0,0.524,Petri1,10.16,10:20,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,K.elegans,M,5.95,3.03,8.89,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
36,238,set005-10-16-19-A4.txt,4,A,A-4,5,0.126,577.6,4.398,0,571.6,0.321,1800.0,0.15,Petri2,10.16,10:20,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,C.corindum,F,8.26,3.48,9.41,13.56,L,wings torn at end,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
38,255,set005-10-16-19-B2.txt,2,B,B-2,5,0,0,0.628,0,0,0,1800.0,0,E,10.16,10:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.23,3.10,8.29,11.01,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
40,110,set005-10-16-19-B3.txt,3,B,B-3,5,0,0,0,0,0,0,1800.0,0,A,10.16,10:20,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,Y,,,,,,,,25.491968,-80.48562,K.elegans,F,6.29,2.62,4.78,8.52,S,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
7,89,set051-10-29-19-A2.txt,2,A,A-2,51,0.331,3597.1,1174.293,0,3597.1,0.999,3600.0,0.483,P,10.29,9:00am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,0.052,N,,,25.491968,-80.48562,K.elegans,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
55,257,set051-10-29-19-B1.txt,1,B,B-1,51,0.249,2075.1,27.645,0,1044.1,0.576,3600.0,0.449,P,10.29,9:00am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts to continuous; continuous to bursts,,0.033,N,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
274,111,set051-10-29-19-B3.txt,3,B,B-3,51,0.359,3502.7,1217.645,0,3502.7,0.973,3600.0,0.524,,10.29,9:00am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,0.039,N,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
64,223,set053-10-30-19-A4.txt,4,A,A-4,53,0,0,0,0,0,0,5400.0,0,,10.3,9:30am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.058,,,,25.25647566,-80.31068981,C.corindum,F,8.57,3.59,8.91,12.73,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
148,95,set053-10-30-19-B3.txt,3,B,B-3,53,0.412,1527.3,55.919,89.4,702.0,0.283,5400.0,0.628,,10.3,9:30am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts to continuous to bursts,,0.101,,Y,,25.491968,-80.48562,K.elegans,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
136,67,set054-10-30-19-B1.txt,1,B,B-1,54,0.287,19.2,5.026,0,19.2,0.004,5400.0,0.628,P,10.3,11:15am,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,0.041,,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
298,84,set054-10-30-19-B2.txt,2,B,B-2,54,0.293,210.0,59.06,0,42.6,0.039,5400.0,0.449,,10.3,11:15am,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,0.046,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
144,416,set054-10-30-19-B3.txt,3,B,B-3,54,0.262,2074.2,7.54,0,1438.4,0.384,5400.0,0.449,,10.3,11:15am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,0.074,,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.63,9.89,13.68,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
255,234,set055-10-30-19-A1.txt,1,A,A-1,55,0,0,0,0,0,0,5398.6,0,,10.3,1:50pm,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.103,,Y,,25.25647566,-80.31068981,C.corindum,F,8.64,3.99,9.71,13.56,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
240,136,set055-10-30-19-A2.txt,2,A,A-2,55,0,0,0,0,0,0,5398.6,0,,10.3,1:50pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
245,152,set055-10-30-19-A3.txt,3,A,A-3,55,0.36,5393.5,1912.545,0,5393.5,0.999,5398.6,0.524,,10.3,1:50pm,M,Lake Wales,Polk,K. elegans,Y,,C,continuous; +90,,0.043,,,,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
289,159,set055-10-30-19-A4.txt,4,A,A-4,55,0,0,0,0,0,0,5398.6,0,,10.3,1:50pm,M,Lake Wales,Polk,K. elegans,N,,,,,0.033,,,,27.903346,-81.589461,K.elegans,M,5.51,3.18,8.44,11.46,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
330,118,set055-10-30-19-B1.txt,1,B,B-1,55,0.306,9.0,2.513,0,9.0,0.002,5400.0,0.698,,10.3,1:50pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.049,,,,25.491968,-80.48562,K.elegans,M,5.74,3.15,8.74,11.78,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
313,90,set055-10-30-19-B2.txt,2,B,B-2,55,0,0,0,0,0,0,5400.0,0,P,10.3,1:50pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.061,,,,25.491968,-80.48562,K.elegans,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
197,123,set056-10-30-19-A4.txt,4,A,A-4,56,0.279,4668.9,8.796,0,4615.3,0.865,5400.0,0.37,,10.3,3:30pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.047,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
210,92,set056-10-30-19-B1.txt,1,B,B-1,56,0,0,0,0,0,0,5330.2,0,,10.3,3:30pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.041,,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
215,103,set056-10-30-19-B2.txt,2,B,B-2,56,0.376,2349.8,835.639,70.2,1980.2,0.441,5330.2,0.524,,10.3,3:30pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,BC,bursts to continuous; +90,,0.048,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
99,258,set057-10-31-19-B1.txt,1,B,B-1,57,0,0,1.257,0,0,0,5400.0,0,P,10.31,9:20am,M,North Key Largo,DD,C. corindum ,N,,,,,0.041,,,,25.28636983,-80.29077075,C.corindum,M,6.60,3.23,8.34,11.71,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
152,102,set057-10-31-19-B2.txt,2,B,B-2,57,0,0,0,0,0,0,5400.0,0,,10.31,9:20am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.118,,Y,,25.491968,-80.48562,K.elegans,F,8.54,3.59,9.63,13.36,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
29,105,set057-10-31-19-B4.txt,4,B,B-4,57,0,0,0,0,0,0,5400.0,0,,10.31,9:20am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.086,,Y,,25.491968,-80.48562,K.elegans,F,8.02,3.69,9.86,13.57,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
37,238,set058-10-31-19-A1.txt,1,A,A-1,58,0,0,0,0,0,0,5400.0,0,P,10.31,11:00am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.117,,Y,,25.25647566,-80.31068981,C.corindum,F,8.26,3.48,9.41,13.56,L,wings torn at end,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
205,276,set058-10-31-19-A4.txt,4,A,A-4,58,0.408,5351.8,2155.697,61.5,5290.3,0.991,5400.0,0.483,,10.31,11:00am,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; +90,,0.051,,,,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
332,107,set058-10-31-19-B3.txt,3,B,B-3,58,0,0,1.257,0,0,0,5400.0,0,,10.31,11:00am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.111,,Y,,25.491968,-80.48562,K.elegans,F,8.33,3.74,9.30,12.73,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
310,252,set058-10-31-19-B4.txt,4,B,B-4,58,0,0,1.257,0,0,0,5400.0,0,,10.31,11:00am,F,North Key Largo,DD -inter,C. corindum ,N,,,,,0.085,,Y,,25.252842,-80.311826,C.corindum,F,8.40,3.46,9.33,12.94,L,,03.23.2020,03.26.2020,AB,25.252842,-80.311826
341,135,set059-10-31-19-A2.txt,2,A,A-2,59,0.524,0,3.77,0,0,0,5400.0,0,,10.31,12:45pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,checked every 5 min,0.085,,Y,,25.491968,-80.48562,K.elegans,F,7.61,3.46,9.41,12.90,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
24,262,set059-10-31-19-A4.txt,4,A,A-4,59,0.25,1809.5,141.996,67.2,482.9,0.335,5400.0,1.257,,10.31,12:45pm,M,North Key Largo,DD,C. corindum ,Y,,B,bursts to continuous?,checked every 5 min,0.041,,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
328,280,set059-10-31-19-B1.txt,1,B,B-1,59,0.161,0,6.283,0,0,0,5400.0,0.112,,10.31,12:45pm,M,North Key Largo,DD,C. corindum ,N,,,,checked every 5 min,0.043,,,,25.28636983,-80.29077075,C.corindum,M,6.49,3.29,8.87,12.41,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
223,129,set059-10-31-19-B3.txt,3,B,B-3,59,0.325,2861.6,87.962,0,442.5,0.53,5400.0,0.483,,10.31,12:45pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts to longer burst,checked every 5 min,0.052,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
318,65,set059-10-31-19-B4.txt,4,B,B-4,59,0.365,442.1,6.283,0,414.1,0.082,5400.0,0.449,,10.31,12:45pm,F,Key Largo,JP Grove,C. corindum ,N,,,,checked every 5 min,0.071,,Y,,25.12846,-80.40809,C.corindum,F,7.33,3.23,8.13,11.92,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
41,261,set006-10-16-19-A2.txt,2,A,A-2,6,0.338,1763.7,584.319,0,1763.7,0.98,1800.0,0.483,C,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,,,,,25.28636983,-80.29077075,C.corindum,M,5.81,3.18,7.82,10.83,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
45,405,set006-10-16-19-A3.txt,3,A,A-3,6,0,0,0,0,0,0,1800.0,0,Petri2,10.16,11:00,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,K.elegans,F,8.57,3.90,11.30,14.72,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
46,113,set006-10-16-19-A4.txt,4,A,A-4,6,0.249,1737.1,427.872,0,1737.1,0.965,1800.0,0.349,A,10.16,11:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continous,,,,,,25.491968,-80.48562,K.elegans,M,5.88,3.15,8.60,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
50,47,set006-10-16-19-B1.txt,1,B,B-1,6,0,0,0,0,0,0,1800.0,0,B,10.16,11:00,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809,C.corindum,M,6.63,3.07,7.87,11.37,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
51,254,set006-10-16-19-B2.txt,2,B,B-2,6,0,0,0,0,0,0,1800.0,0,E,10.16,11:00,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.03,3.08,7.77,10.65,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
54,257,set006-10-16-19-B3.txt,3,B,B-3,6,0.182,1336.8,5.655,283.1,615.5,0.743,1800.0,0.233,Petri2,10.16,11:00,M,North Key Largo,DD,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
293,50,set060-10-31-19-A1.txt,1,A,A-1,60,0.243,2208.6,3.77,0,2203.3,0.409,5400.0,0.251,,10.31,2:20pm,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,,0.045,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
190,73,set060-10-31-19-A2.txt,2,A,A-2,60,0,0,0.628,0,0,0,5400.0,0,,10.31,2:20pm,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.042,,,,25.1755048,-80.36782055,C.corindum,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
337,114,set060-10-31-19-A3.txt,3,A,A-3,60,0,0,0,0,0,0,5400.0,0,,10.31,2:20pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.044,,,,25.491968,-80.48562,K.elegans,M,6.00,3.23,9.32,12.26,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
320,409,set060-10-31-19-B1.txt,1,B,B-1,60,0,0,1.257,0,0,0,5400.0,0,,10.31,2:20pm,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.043,,,,29.661821,-82.347211,K.elegans,M,5.72,3.18,8.53,11.55,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
258,263,set060-10-31-19-B3.txt,3,B,B-3,60,0,0,0,0,0,0,5400.0,0,,10.31,2:20pm,F,North Key Largo,DD,C. corindum ,N,,,,,0.09,,Y,,25.28636983,-80.29077075,C.corindum,F,6.56,3.19,8.32,11.34,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
304,183,set060-10-31-19-B4.txt,4,B,B-4,60,0.306,187.3,53.406,0,50.4,0.035,5400.0,0.483,P,10.31,2:20pm,M,North Key Largo,N. Dagny,C. corindum ,Y,,B,bursts,,0.039,,,,25.18229498,-80.36369887,C.corindum,M,6.56,3.06,8.04,10.92,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
48,113,set061-10-31-19-A1.txt,1,A,A-1,61,0.215,4143.0,854.488,139.0,3628.0,0.767,5400.0,0.898,,10.31,4:00pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.039,,,,25.491968,-80.48562,K.elegans,M,5.88,3.15,8.60,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
122,275,set061-10-31-19-A3.txt,3,A,A-3,61,0.126,0,2.513,0,0,0,5400.0,0,,10.31,4:00pm,F,North Key Largo,DD,C. corindum ,N,,,,,0.113,,Y,,25.28636983,-80.29077075,C.corindum,F,9.35,3.78,10.19,14.01,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
141,187,set061-10-31-19-A4.txt,4,A,A-4,61,0.45,65.3,40.211,0,25.8,0.012,5400.0,0.898,,10.31,4:00pm,F,North Key Largo,N. Dagny,C. corindum ,N,,,,,0.089,,Y,,25.18229498,-80.36369887,C.corindum,F,8.98,3.68,9.06,12.81,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
129,120,set062-11-01-19-B1.txt,1,B,B-1,62,0.274,4230.9,1120.887,191.9,3941.0,0.783,5400.0,0.524,,11.01,9:05am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.048,,,,25.491968,-80.48562,K.elegans,M,5.70,3.23,8.54,11.59,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
171,78,set062-11-01-19-B3.txt,3,B,B-3,62,0,0,0,0,0,0,5400.0,0,,11.01,9:05am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.032,,,,25.1755048,-80.36782055,C.corindum,M,5.79,2.78,7.88,10.34,L,wings torn at end,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
285,404,set062-11-01-19-B4.txt,4,B,B-4,62,0.284,5288.2,1298.068,0,4630.9,0.979,5400.0,0.571,P,11.01,9:05am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,C,continuous; +90,,0.082,,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.59,9.82,13.37,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
234,96,set063-11-01-19-A4.txt,4,A,A-4,63,0.42,5394.4,2244.916,0,5394.4,0.999,5400.0,0.571,,11.01,10:55am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.045,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
20,132,set063-11-01-19-B1.txt,1,B,B-1,63,0.323,5397.9,1713.374,0,5397.9,1.0,5400.0,0.628,,11.01,10:55am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.055,,,,25.491968,-80.48562,K.elegans,M,5.75,3.32,9.04,11.98,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
175,271,set063-11-01-19-B2.txt,2,B,B-2,63,0,0,0,0,0,0,5400.0,0,,11.01,10:55am,M,North Key Largo,DD,C. corindum ,N,,,,,0.035,,,,25.28636983,-80.29077075,C.corindum,M,6.66,3.23,8.63,11.63,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
53,254,set064-11-01-19-B1.txt,1,B,B-1,64,0.17,0,2.513,0,0,0,5400.0,0,,11.01,12:50pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.047,,,,25.28636983,-80.29077075,C.corindum,M,6.03,3.08,7.77,10.65,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
339,397,set064-11-01-19-B3.txt,3,B,B-3,64,0,0,0,0,0,0,5400.0,0,,11.01,12:50pm,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.106,,Y,,29.661821,-82.347211,K.elegans,F,7.81,3.58,9.57,13.13,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
272,154,set065-11-01-19-A1.txt,1,A,A-1,65,0,0,0,0,0,0,5400.0,0,,11.01,2:25pm,F,Lake Wales,Polk,K. elegans,N,,,,,0.057,,Y,,27.903346,-81.589461,K.elegans,F,7.72,3.54,10.05,13.24,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
69,139,set065-11-01-19-A2.txt,2,A,A-2,65,0,0,0.628,0,0,0,5400.0,0,P,11.01,2:25pm,F,Lake Wales,Polk,K. elegans,N,,,,,0.07,,Y,,27.903346,-81.589461,K.elegans,F,6.97,3.45,9.61,12.86,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
85,226,set065-11-01-19-A3.txt,3,A,A-3,65,0.327,4630.5,1494.097,0,4539.5,0.858,5400.0,0.524,,11.01,2:25pm,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,BC,bursts to continuous; +90,,0.035,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
