,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
153,249,set018-10-18-19-A2.txt,2,A,A-2,18,0.255,0,1.885,0,0,0,1800.0,0.196,E,10.18,1:30,F,North Key Largo,DD -inter,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826,C.corindum,F,8.22,3.50,8.73,12.27,L,,03.23.2020,03.26.2020,AB,25.252842,-80.311826
156,126,set018-10-18-19-A3.txt,3,A,A-3,18,0.45,871.9,382.006,0,865.1,0.484,1800.0,0.571,B,10.18,1:30,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
162,190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800.0,0,E,10.18,1:30,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887,C.corindum,M,5.63,2.77,5.22,8.44,S,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
163,288,set018-10-18-19-B1.txt,1,B,B-1,18,0.295,942.1,13.194,155.1,783.1,0.523,1800.0,0.571,Petri2,10.18,1:30,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,,,,,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
169,39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800.0,0,Petri1,10.18,1:30,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809,C.corindum,F,7.78,3.44,8.82,11.79,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
170,78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800.0,0,B,10.18,1:30,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,C.corindum,M,5.79,2.78,7.88,10.34,L,wings torn at end,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
172,81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532,C.corindum,M,6.60,2.89,7.98,11.27,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
174,271,set019-10-18-19-A4.txt,4,A,A-4,19,0.215,13.3,2.513,0,13.3,0.007,1800.0,0.393,C,10.18,2:15,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.66,3.23,8.63,11.63,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
176,85,set019-10-18-19-B1.txt,1,B,B-1,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,F,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,,,Y,,25.173694,-80.371532,C.corindum,F,8.67,3.52,9.46,13.17,L,wings torn at end,03.20.2020,03.25.2020,AB,25.173694,-80.371532
177,109,set019-10-18-19-B2.txt,2,B,B-2,19,0.178,1524.7,3.141,0,1515.4,0.847,1800.0,0.273,A,10.18,2:15,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562,K.elegans,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
