ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
334,D,10.17,9:40,9,A-1,M,Lake Placid,Y,,,paint came off at end,set009-10-17-19-A1.txt
198,E,10.17,9:40,9,A-2,F,North Key Largo,N,,,,set009-10-17-19-A2.txt
295,Petri2,10.17,9:40,9,A-3,M,Lake Placid,Y,,continuous,,set009-10-17-19-A3.txt
424,D,10.17,9:40,9,A-4,M,Gainesville,N,Y,,,set009-10-17-19-A4.txt
203,E,10.17,9:40,9,B-1,F,North Key Largo,N,,,,set009-10-17-19-B1.txt
131,B,10.17,9:40,9,B-2,F,Homestead,N,,,,set009-10-17-19-B2.txt
98,Petri1,10.17,9:40,9,B-3,F,Homestead,N,,,,set009-10-17-19-B3.txt
300,C,10.17,9:40,9,B-4,M,Lake Placid,Y,,,paint came off at end,set009-10-17-19-B4.txt
279,C,10.17,10:30,10,A-1,M,North Key Largo,Y,,,,set010-10-17-19-A1.txt
318,C,10.17,10:30,10,A-2,M,Lake Placid,Y,,bursts,,set010-10-17-19-A2.txt
17,A,10.17,10:30,10,A-3,M,Plantation Key,N,,,,set010-10-17-19-A3.txt
285,Petri2,10.17,10:30,10,A-4,F,North Key Largo,N,,,,set010-10-17-19-A4.txt
202,E,10.17,10:30,10,B-1,F,North Key Largo,N,,,no recording,NA
153,D,10.17,10:30,10,B-2,F,Lake Wales,N,,,no recording,NA
333,C,10.17,10:30,10,B-3,F,Lake Placid,N,,,no recording,NA
8,A,10.17,10:30,10,B-4,F,Plantation Key,N,,,no recording,NA
217,E,10.17,11:20,11,A-1,F,North Key Largo,N,,,no recording,NA
66,Petri1,10.17,11:20,11,A-2,F,North Key Largo,N,,,no recording,NA
56,B,10.17,11:20,11,A-3,M,Key Largo,N,,,no recording,NA
384,D,10.17,11:20,11,A-4,M,Leesburg,N,,,no recording,NA
327,C,10.17,11:20,11,B-1,M,Lake Placid,N,Y,,no recording,NA
283,C,10.17,11:20,11,B-2,F,North Key Largo,N,,,no recording,NA
314,C,10.17,11:20,11,B-3,F,Lake Placid,N,,,no recording,NA
410,D,10.17,11:20,11,B-4,F,Gainesville,N,,,no recording,NA
332,C,10.17,12:20,12,A-1,M,Lake Placid,Y,,continuous,,set012-10-17-19-A1.txt
149,D,10.17,12:20,12,A-2,F,Lake Wales,N,,,,set012-10-17-19-A2.txt
226,E,10.17,12:20,12,A-3,M,North Key Largo,Y,,bursts,,set012-10-17-19-A3.txt
287,Petri2,10.17,12:20,12,A-4,M,North Key Largo,N,,,,set012-10-17-19-A4.txt
386,D,10.17,12:20,12,B-1,M,Leesburg,N,Y,,,set012-10-17-19-B1.txt
101,A,10.17,12:20,12,B-2,M,Homestead,Y,,continuous,,set012-10-17-19-B2.txt
13,A,10.17,12:20,12,B-3,M,Plantation Key,N,,,,set012-10-17-19-B3.txt
41,Petri1,10.17,12:20,12,B-4,M,Key Largo,N,,,,set012-10-17-19-B4.txt
298,Petri2,10.17,1:25,13,A-1,F,Lake Placid,N,,,,set013-10-17-19-A1.txt
64,B,10.17,1:25,13,A-2,F,Key Largo,N,,,,set013-10-17-19-A2.txt
197,E,10.17,1:25,13,A-3,M,North Key Largo,Y,,,,set013-10-17-19-A3.txt
258,Petri2,10.17,1:25,13,A-4,M,North Key Largo,N,,,,set013-10-17-19-A4.txt
339,D,10.17,1:25,13,B-3,M,Lake Placid,Y,,,,set013-10-17-19-B1.txt
390,,10.17,1:25,13,B-2,M,Leesburg,N,,,,set013-10-17-19-B2.txt
321,C,10.17,1:25,13,B-1,M,Lake Placid,N,,,,set013-10-17-19-B3.txt
33,A,10.17,1:25,13,B-4,M,Plantation Key,N,Y,,,set013-10-17-19-B4.txt
21,A,10.17,2:20,14,A-1,M,Plantation Key,N,,,,set014-10-17-19-A1.txt
264,C,10.17,2:20,14,A-2,M,North Key Largo,N,,,,set014-10-17-19-A2.txt
269,C,10.17,2:20,14,A-3,M,North Key Largo,N,,,,set014-10-17-19-A3.txt
155,D,10.17,2:20,14,A-4,M,Lake Wales,Y,,bursts,,set014-10-17-19-A4.txt
381,D,10.17,2:20,14,B-1,F,Leesburg,N,,,,set014-10-17-19-B1.txt
387,D,10.17,2:20,14,B-2,F,Leesburg,Y,,bursts,,set014-10-17-19-B2.txt
68,Petri1,10.17,2:20,14,B-3,M,North Key Largo,Y,,,,set014-10-17-19-B3.txt
116,A,10.17,2:20,14,B-4,F,Homestead,Y,,long bursts,,set014-10-17-19-B4.txt
124,A,10.18,10:05,15,A-1,M,Homestead,N,,,no recording,NA
35,A,10.18,10:05,15,A-2,M,Plantation Key,N,,,no recording,NA
26,A,10.18,10:05,15,A-3,M,Plantation Key,N,,,no recording,NA
135,B,10.18,10:05,15,A-4,F,Homestead,N,,,no recording,NA
280,C,10.18,10:05,15,B-1,M,North Key Largo,N,,,no recording,NA
195,E,10.18,10:05,15,B-2,M,North Key Largo,N,,,no recording,NA
256,E,10.18,10:05,15,B-3,F,North Key Largo,N,,,no recording,NA
62,B,10.18,10:05,15,B-4,F,Key Largo,N,,,no recording,NA
229,E,10.18,10:55,16,A-1,F,North Key Largo,N,,,,set016-10-18-19-A1.txt
275,C,10.18,10:55,16,A-2,F,North Key Largo,N,,,,set016-10-18-19-A2.txt
125,B,10.18,10:55,16,A-3,M,Homestead,Y,,bursts,,set016-10-18-19-A3.txt
120,A,10.18,10:55,16,A-4,M,Homestead,Y,,bursts,,set016-10-18-19-A4.txt
74,B,10.18,10:55,16,B-1,F,North Key Largo,N,,,no recording,NA
146,Petri1,10.18,10:55,16,B-2,M,Lake Wales,N,,,no recording,NA
250,E,10.18,10:55,16,B-3,F,North Key Largo,N,,,no recording,NA
180,Petri1,10.18,10:55,16,B-4,M,North Key Largo,N,,,no recording,NA
375,Petri2,10.18,11:45,17,A-1,F,Leesburg,N,,,,set017-10-18-19-A1.txt
69,Petri1,10.18,11:45,17,A-3,F,North Key Largo,N,,,,set017-10-18-19-A2.txt
67,Petri1,10.18,11:45,17,A-4,M,North Key Largo,Y,,bursts,,set017-10-18-19-A3.txt
331,C,10.18,11:45,17,A-2,F,Lake Placid,N,,,,set017-10-18-19-A4.txt
187,B,10.18,11:45,17,B-1,F,North Key Largo,N,,,,set017-10-18-19-B1.txt
416,D,10.18,11:45,17,B-2,F,Gainesville,Y,,bursts,,set017-10-18-19-B2.txt
95,A,10.18,11:45,17,B-3,F,Homestead,Y,,continuous,,set017-10-18-19-B3.txt
102,A,10.18,11:45,17,B-4,F,Homestead,N,,,,set017-10-18-19-B4.txt
34,A,10.18,1:30,18,A-1,F,Plantation Key,N,,,,set018-10-18-19-A1.txt
249,E,10.18,1:30,18,A-2,F,North Key Largo,N,,,,set018-10-18-19-A2.txt
126,B,10.18,1:30,18,A-3,M,Homestead,Y,,,,set018-10-18-19-A3.txt
190,E,10.18,1:30,18,A-4,M,North Key Largo,N,,,,set018-10-18-19-A4.txt
288,Petri2,10.18,1:30,18,B-1,M,North Key Largo,Y,,Bursts,,set018-10-18-19-B1.txt
290,Petri2,10.18,1:30,18,B-2,M,Lake Placid,N,Y,,,set018-10-18-19-B2.txt
39,Petri1,10.18,1:30,18,B-3,F,Key Largo,N,,,,set018-10-18-19-B3.txt
78,B,10.18,1:30,18,B-4,M,North Key Largo,N,,,,set018-10-18-19-B4.txt
221,E,10.18,2:15,19,A-1,F,North Key Largo,N,,,,set019-10-18-19-A1.txt
81,B,10.18,2:15,19,A-2,M,North Key Largo,N,,,,set019-10-18-19-A2.txt
302,C,10.18,2:15,19,A-3,F,Lake Placid,Y,,continuous,,set019-10-18-19-A3.txt
271,C,10.18,2:15,19,A-4,M,North Key Largo,N,,,,set019-10-18-19-A4.txt
85,B,10.18,2:15,19,B-1,F,North Key Largo,Y,,bursts,,set019-10-18-19-B1.txt
109,A,10.18,2:15,19,B-2,F,Homestead,Y,,bursts,,set019-10-18-19-B2.txt
351,D,10.18,2:15,19,B-3,M,Lake Placid,Y,,continuous,,set019-10-18-19-B3.txt
235,E,10.18,2:15,19,B-4,F,North Key Largo,Y,,continuous,,set019-10-18-19-B4.txt
73,B,10.18,3:00,20,A-1,M,North Key Largo,N,,,,set020-10-18-19-A1.txt
49,A,10.18,3:00,20,A-2,M,Key Largo,Y,,continuous,,set020-10-18-19-A2.txt
123,A,10.18,3:00,20,A-3,M,Homestead,N,,,,set020-10-18-19-A3.txt
239,Petri2,10.18,3:00,20,A-4,F,North Key Largo,N,,,,set020-10-18-19-A4.txt
108,A,10.18,3:00,20,B-1,F,Homestead,N,,,,set020-10-18-19-B1.txt
276,C,10.18,3:00,20,B-2,M,North Key Largo,Y,,,started halfway through,set020-10-18-19-B2.txt
92,A,10.18,3:00,20,B-3,M,Homestead,??,,,,set020-10-18-19-B3.txt
103,A,10.18,3:00,20,B-4,M,Homestead,Y,,bursts,,set020-10-18-19-B4.txt
421,D,10.21,9:00,21,A-1,M,Gainesville,N,,,,set021-10-21-19-A1.txt
129,B,10.21,9:00,21,A-2,M,Homestead,Y,,continuous,,set021-10-21-19-A2.txt
335,D,10.21,9:00,21,A-3,F,Lake Placid,N,,,,set021-10-21-19-A3.txt
413,D,10.21,9:00,21,A-4,F,Gainesville,N,,,,set021-10-21-19-A4.txt
128,B,10.21,9:00,21,B-1,M,Homestead,N,,,,set021-10-21-19-B1.txt
208,E,10.21,9:00,21,B-2,F,North Key Largo,N,,,,set021-10-21-19-B2.txt
156,D,10.21,9:00,21,B-3,F,Lake Wales,N,,,,set021-10-21-19-B3.txt
96,A,10.21,9:00,21,B-4,M,Homestead,Y,,continuous,,set021-10-21-19-B4.txt
136,B,10.21,10:00,22,A-1,M,Homestead,Y,,bursts,paint came off at 40%,set022-10-21-19-A1.txt
214,E,10.21,10:00,22,A-2,M,North Key Largo,N,,,,set022-10-21-19-A2.txt
152,D,10.21,10:00,22,A-3,M,Lake Wales,Y,,bursts,,set022-10-21-19-A3.txt
330,C,10.21,10:00,22,A-4,M,Lake Placid,Y,,continuous,,set022-10-21-19-A4.txt
134,B,10.21,10:00,22,B-1,M,Homestead,Y,,bursts,,set022-10-21-19-B1.txt
272,C,10.21,10:00,22,B-2,F,North Key Largo,N,Y,,"died immediately after trial, should probably be excluded",set022-10-21-19-B2.txt
204,E,10.21,10:00,22,B-3,M,North Key Largo,N,,,,set022-10-21-19-B3.txt
391,Petri1,10.21,10:00,22,B-4,M,Leesburg,N,,,,set022-10-21-19-B4.txt
