ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
390,,10.17,1:25,13,B-2,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,set013-10-17-19-B2.txt,,,,
339,D,10.17,1:25,13,B-3,M,Lake Placid,Barber shop,K. elegans,Y,,C,,,set013-10-17-19-B3.txt,,,,
33,A,10.17,1:25,13,B-4,M,Plantation Key,Founder's #1,C. corindum ,N,Y,,,,set013-10-17-19-B4.txt,,,,
21,A,10.17,2:20,14,A-1,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,set014-10-17-19-A1.txt,,,,
264,C,10.17,2:20,14,A-2,M,North Key Largo,DD,C. corindum ,N,,,,,set014-10-17-19-A2.txt,,,,
269,C,10.17,2:20,14,A-3,M,North Key Largo,DD,C. corindum ,N,,,,,set014-10-17-19-A3.txt,,,,
155,D,10.17,2:20,14,A-4,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,set014-10-17-19-A4.txt,,,,
381,D,10.17,2:20,14,B-1,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,set014-10-17-19-B1.txt,,,Y,
387,D,10.17,2:20,14,B-2,F,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,B,bursts,,set014-10-17-19-B2.txt,,,Y,
68,Petri1,10.17,2:20,14,B-3,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,,,,set014-10-17-19-B3.txt,,,Y,
116,A,10.17,2:20,14,B-4,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,long bursts,,set014-10-17-19-B4.txt,,,,
124,A,10.18,10:05,15,A-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,,
35,A,10.18,10:05,15,A-2,M,Plantation Key,Founder's #1,C. corindum ,N,,,,no recording,NA,,,,
26,A,10.18,10:05,15,A-3,M,Plantation Key,Founder's #1,C. corindum ,N,,,,no recording,NA,,,,
