ID,sex,population,host,site,notes,latitude,longitude
69,F,North Key Largo,C. corindum ,Dagny Trellis,P,25.1755048,-80.36782055
70,F,North Key Largo,C. corindum ,Dagny Trellis,P; NOT J. haematoloma,25.1755048,-80.36782055
71,F,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
72,M,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
73,M,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
74,F,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
75,M,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
76,F,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
77,F,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
78,M,North Key Largo,C. corindum ,Dagny Trellis,C,25.1755048,-80.36782055
79,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
80,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
81,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
82,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
83,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
84,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
85,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
86,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
87,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
88,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,C,25.173694,-80.371532
89,M,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
90,F,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
91,M,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
92,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
93,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
94,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
95,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
96,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
97,F,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
98,F,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
99,M,Homestead,K. elegans,SW 296th St & 182nd Ave,P,25.491968,-80.48562
100,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
101,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
102,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
103,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
104,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
105,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
106,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
107,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
108,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
109,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
110,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
111,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
112,F,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
113,M,Homestead,K. elegans,SW 296th St & 182nd Ave,C,25.491968,-80.48562
