ID,sex,population,host,site,notes,latitude,longitude
387,F,Leesburg,K. elegans,Veteran’s Memorial Park,C,28.812980,-81.877895
388,M,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
389,F,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
390,M,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
391,M,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
392,F,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
393,M,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
394,F,Leesburg,K. elegans,Veteran’s Memorial Park,P,28.812980,-81.877895
397,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
398,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
399,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
400,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
401,M,Gainesville,K. elegans,NW 10th Ave & 18th St,P,29.661821,-82.347211
402,M,Gainesville,K. elegans,NW 10th Ave & 18th St,P,29.661821,-82.347211
403,F,Gainesville,K. elegans,NW 10th Ave & 18th St,P,29.661821,-82.347211
404,F,Gainesville,K. elegans,NW 10th Ave & 18th St,P,29.661821,-82.347211
405,F,Gainesville,K. elegans,NW 10th Ave & 18th St,P,29.661821,-82.347211
406,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
407,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
408,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
409,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
410,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
411,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
412,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
413,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
414,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
415,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
416,F,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
417,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
418,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
419,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
420,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
421,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
422,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
423,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
424,M,Gainesville,K. elegans,NW 10th Ave & 18th St,C,29.661821,-82.347211
