filename,channel_num,channel_letter,chamber,ID,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set014-10-17-19-B3.txt,3,B,B-3,68,14,0.413,224.8,89.219,224.8,224.8,0.125,1800.0,1.257
set014-10-17-19-B4.txt,4,B,B-4,116,14,0.291,319.1,23.875,71.3,240.8,0.177,1800.0,0.483
set016-10-18-19-A1.txt,1,A,A-1,229,16,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A2.txt,2,A,A-2,275,16,0,0,0,0,0,0,1800.0,0
set016-10-18-19-A3.txt,3,A,A-3,125,16,0.265,526.4,81.679,67.4,232.3,0.292,1800.0,0.37
set016-10-18-19-A4.txt,4,A,A-4,120,16,0.371,462.9,82.936,212.3,223.4,0.257,1800.0,0.449
set017-10-18-19-A1.txt,1,A,A-1,375,17,0,0,0.628,0,0,0,1800.0,0
set017-10-18-19-A2.txt,2,A,A-2,331,17,0,0,0.628,0,0,0,1800.0,0
set017-10-18-19-A3.txt,3,A,A-3,69,17,0,0,0,0,0,0,1800.0,0
set017-10-18-19-A4.txt,4,A,A-4,67,17,0.281,24.7,5.655,0,19.3,0.014,1800.0,0.571
set017-10-18-19-B1.txt,1,B,B-1,187,17,0,0,0,0,0,0,1800.0,0
set017-10-18-19-B2.txt,2,B,B-2,416,17,0.306,421.1,13.194,0,363.3,0.234,1800.0,0.449
set017-10-18-19-B3.txt,3,B,B-3,95,17,0.482,1796.7,853.231,0,1796.7,0.998,1800.0,0.628
set017-10-18-19-B4.txt,4,B,B-4,102,17,0,0,0,0,0,0,1800.0,0
set018-10-18-19-A1.txt,1,A,A-1,34,18,0.204,0,3.77,0,0,0,1800.0,0.217
set018-10-18-19-A2.txt,2,A,A-2,249,18,0.255,0,1.885,0,0,0,1800.0,0.196
set018-10-18-19-A3.txt,3,A,A-3,126,18,0.45,871.9,382.006,0,865.1,0.484,1800.0,0.571
set018-10-18-19-A4.txt,4,A,A-4,190,18,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B1.txt,1,B,B-1,288,18,0.295,942.1,13.194,155.1,783.1,0.523,1800.0,0.571
set018-10-18-19-B2.txt,2,B,B-2,290,18,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B3.txt,3,B,B-3,39,18,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B4.txt,4,B,B-4,78,18,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A1.txt,1,A,A-1,221,19,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A2.txt,2,A,A-2,81,19,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A3.txt,3,A,A-3,302,19,0.444,1796.3,787.888,0,1796.3,0.998,1800.0,0.571
set019-10-18-19-A4.txt,4,A,A-4,271,19,0.215,13.3,2.513,0,13.3,0.007,1800.0,0.393
set019-10-18-19-B1.txt,1,B,B-1,85,19,0,0,0,0,0,0,1800.0,0
set019-10-18-19-B2.txt,2,B,B-2,109,19,0.178,1524.7,3.141,0,1515.4,0.847,1800.0,0.273
set019-10-18-19-B3.txt,3,B,B-3,351,19,0.457,1239.0,566.727,0,1236.1,0.688,1800.0,0.524
set019-10-18-19-B4.txt,4,B,B-4,235,19,0.19,1671.2,305.354,0,1671.2,0.928,1800.0,0.331
set020-10-18-19-A1.txt,1,A,A-1,73,20,0,0,0,0,0,0,1800.0,0
set020-10-18-19-A2.txt,2,A,A-2,49,20,0.45,1797.0,776.579,0,1797.0,0.998,1800.0,0.628
set020-10-18-19-A3.txt,3,A,A-3,123,20,0,0,0,0,0,0,1800.0,0
set020-10-18-19-A4.txt,4,A,A-4,239,20,0,0,0,0,0,0,1800.0,0
set020-10-18-19-B1.txt,1,B,B-1,108,20,0,0,0.628,0,0,0,1800.0,0
