ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude
139,set008-10-16-19-A1.txt,1,A,A-1,8,0.245,192.4,8.796,131.3,131.3,0.107,1800.0,0.449,Petri1,10.16,12:25,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461
53,set008-10-16-19-A2.txt,2,A,A-2,8,0,0,0,0,0,0,1800.0,0,B,10.16,12:25,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809
407,set008-10-16-19-A3.txt,3,A,A-3,8,0,0,0,0,0,0,1800.0,0,D,10.16,12:25,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211
326,set008-10-16-19-A4.txt,4,A,A-4,8,0.161,73.5,12.566,0,34.2,0.041,1800.0,0.233,C,10.16,12:25,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at 80%,,,,,27.298660028,-81.36611608
191,set008-10-16-19-B1.txt,1,B,B-1,8,0,0,0,0,0,0,1800.0,0,E,10.16,12:25,M,North Key Largo,N. Dagny,C. corindum ,N,Y,,,,,,,,25.18229498,-80.36369887
310,set008-10-16-19-B2.txt,2,B,B-2,8,0.301,977.8,7.54,0,971.5,0.543,1800.0,0.628,C,10.16,12:25,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
299,set008-10-16-19-B3.txt,3,B,B-3,8,0.215,487.5,3.77,0,483.9,0.271,1800.0,0.299,Petri2,10.16,12:25,M,Lake Placid,Barber shop,K. elegans,Y,,B,,,,,,,27.298660028,-81.36611608
334,set009-10-17-19-A1.txt,1,A,A-1,9,0.177,7.7,4.398,0,4.3,0.004,1800.0,0.224,D,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,,,,,27.298660028,-81.36611608
198,set009-10-17-19-A2.txt,2,A,A-2,9,0,0,0,0,0,0,1800.0,0,E,10.17,9:40,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136
295,set009-10-17-19-A3.txt,3,A,A-3,9,0.433,1714.4,732.598,0,1711.1,0.952,1800.0,0.571,Petri2,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
424,set009-10-17-19-A4.txt,4,A,A-4,9,0,0,0,0,0,0,1800.0,0,D,10.17,9:40,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,Y,,,,,,,,29.661821,-82.347211
203,set009-10-17-19-B1.txt,1,B,B-1,9,0,0,0,0,0,0,1800.0,0,E,10.17,9:40,F,North Key Largo,Charlemagne,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136
131,set009-10-17-19-B2.txt,2,B,B-2,9,0,0,0.628,0,0,0,1800.0,0,B,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
98,set009-10-17-19-B3.txt,3,B,B-3,9,0,0,0,0,0,0,1800.0,0,Petri1,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
300,set009-10-17-19-B4.txt,4,B,B-4,9,0.465,56.3,4.398,0,48.7,0.031,1800.0,0.898,C,10.17,9:40,M,Lake Placid,Barber shop,K. elegans,Y,,B,,paint came off at end,,,,,27.298660028,-81.36611608
279,set010-10-17-19-A1.txt,1,A,A-1,10,0.366,1305.9,300.327,107.8,600.9,0.726,1800.0,0.524,C,10.17,10:30,M,North Key Largo,DD,C. corindum ,Y,,C,,,,,,,25.28636983,-80.29077075
318,set010-10-17-19-A2.txt,2,A,A-2,10,0.129,326.6,33.928,110.9,155.2,0.181,1800.0,0.233,C,10.17,10:30,M,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,,,,,27.298660028,-81.36611608
17,set010-10-17-19-A3.txt,3,A,A-3,10,0.286,0,1.885,0,0,0,1800.0,0,A,10.17,10:30,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
285,set010-10-17-19-A4.txt,4,A,A-4,10,0.589,0,1.885,0,0,0,1800.0,0.785,Petri2,10.17,10:30,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075
332,set012-10-17-19-A1.txt,1,A,A-1,12,0.333,1796.9,574.266,0,1796.9,0.998,1800.0,0.571,C,10.17,12:20,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
149,set012-10-17-19-A2.txt,2,A,A-2,12,0,0,0.628,0,0,0,1800.0,0,D,10.17,12:20,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461
226,set012-10-17-19-A3.txt,3,A,A-3,12,0.26,540.6,6.911,0,532.3,0.3,1800.0,0.349,E,10.17,12:20,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,,,,,25.25647566,-80.31068981
287,set012-10-17-19-A4.txt,4,A,A-4,12,0,0,0.628,0,0,0,1800.0,0,Petri2,10.17,12:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
386,set012-10-17-19-B1.txt,1,B,B-1,12,0,0,0,0,0,0,1800.0,0,D,10.17,12:20,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895
101,set012-10-17-19-B2.txt,2,B,B-2,12,0.377,1796.8,670.396,0,1796.8,0.998,1800.0,0.483,A,10.17,12:20,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562
13,set012-10-17-19-B3.txt,3,B,B-3,12,0,0,0,0,0,0,1800.0,0,A,10.17,12:20,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
41,set012-10-17-19-B4.txt,4,B,B-4,12,0,0,0,0,0,0,1800.0,0,Petri1,10.17,12:20,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809
298,set013-10-17-19-A1.txt,1,A,A-1,13,0,0,1.257,0,0,0,1800.0,0,Petri2,10.17,1:25,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
64,set013-10-17-19-A2.txt,2,A,A-2,13,0,0,0.628,0,0,0,1800.0,0,B,10.17,1:25,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809
197,set013-10-17-19-A3.txt,3,A,A-3,13,0,0,1.257,0,0,0,1800.0,0,E,10.17,1:25,M,North Key Largo,Charlemagne,C. corindum ,Y,,B,,,,,,,25.1948419,-80.34590136
258,set013-10-17-19-A4.txt,4,A,A-4,13,0,0,0.628,0,0,0,1800.0,0,Petri2,10.17,1:25,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
321,set013-10-17-19-B1.txt,1,B,B-1,13,0,0,0,0,0,0,1800.0,0,C,10.17,1:25,M,Lake Placid,Barber shop,K. elegans,N,,,,,,,,,27.298660028,-81.36611608
390,set013-10-17-19-B2.txt,2,B,B-2,13,0,0,0,0,0,0,1800.0,0,,10.17,1:25,M,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,,,28.812980,-81.877895
339,set013-10-17-19-B3.txt,3,B,B-3,13,0.263,1793.9,464.942,0,1793.9,0.997,1800.0,0.331,D,10.17,1:25,M,Lake Placid,Barber shop,K. elegans,Y,,C,,,,,,,27.298660028,-81.36611608
33,set013-10-17-19-B4.txt,4,B,B-4,13,0,0,1.257,0,0,0,1800.0,0,A,10.17,1:25,M,Plantation Key,Founder's #1,C. corindum ,N,Y,,,,,,,,24.96448253,-80.56738908
21,set014-10-17-19-A1.txt,1,A,A-1,14,0,0,0,0,0,0,1800.0,0,A,10.17,2:20,M,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908
264,set014-10-17-19-A2.txt,2,A,A-2,14,0.19,0,4.398,0,0,0,1800.0,0,C,10.17,2:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
269,set014-10-17-19-A3.txt,3,A,A-3,14,0,0,0,0,0,0,1800.0,0,C,10.17,2:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
155,set014-10-17-19-A4.txt,4,A,A-4,14,0.149,29.4,9.425,0,13.1,0.016,1800.0,0.217,D,10.17,2:20,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461
381,set014-10-17-19-B1.txt,1,B,B-1,14,0,0,0,0,0,0,1800.0,0,D,10.17,2:20,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
387,set014-10-17-19-B2.txt,2,B,B-2,14,0.221,779.2,11.938,0,742.3,0.433,1800.0,0.299,D,10.17,2:20,F,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,B,bursts,,,,Y,,28.812980,-81.877895
68,set014-10-17-19-B3.txt,3,B,B-3,14,0.413,224.8,89.219,224.8,224.8,0.125,1800.0,1.257,Petri1,10.17,2:20,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,,,,,,Y,,25.1755048,-80.36782055
116,set014-10-17-19-B4.txt,4,B,B-4,14,0.291,319.1,23.875,71.3,240.8,0.177,1800.0,0.483,A,10.17,2:20,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562
229,set016-10-18-19-A1.txt,1,A,A-1,16,0,0,0,0,0,0,1800.0,0,E,10.18,10:55,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981
275,set016-10-18-19-A2.txt,2,A,A-2,16,0,0,0,0,0,0,1800.0,0,C,10.18,10:55,F,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
125,set016-10-18-19-A3.txt,3,A,A-3,16,0.265,526.4,81.679,67.4,232.3,0.292,1800.0,0.37,B,10.18,10:55,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562
120,set016-10-18-19-A4.txt,4,A,A-4,16,0.371,462.9,82.936,212.3,223.4,0.257,1800.0,0.449,A,10.18,10:55,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562
