ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
102,set017-10-18-19-B4.txt,4,B,B-4,17,0,0,0,0,0,0,1800.0,0,A,10.18,11:45,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,F,8.54,3.59,9.63,13.36,L,,03.20.2020,03.25.2020,AB
34,set018-10-18-19-A1.txt,1,A,A-1,18,0.204,0,3.77,0,0,0,1800.0,0.217,A,10.18,1:30,Plantation Key,Founder's #1,C. corindum,N,,,,,,,Y,,24.96448253,-80.56738908,F,9.08,3.88,9.80,13.68,L,,03.19.2020,03.25.2020,AB
249,set018-10-18-19-A2.txt,2,A,A-2,18,0.255,0,1.885,0,0,0,1800.0,0.196,E,10.18,1:30,North Key Largo,DD -inter,C. corindum,N,,,,,,,Y,,25.252842,-80.311826,F,8.22,3.50,8.73,12.27,L,,03.23.2020,03.26.2020,AB
126,set018-10-18-19-A3.txt,3,A,A-3,18,0.45,871.9,382.006,0,865.1,0.484,1800.0,0.571,B,10.18,1:30,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB
190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800.0,0,E,10.18,1:30,North Key Largo,N. Dagny,C. corindum,N,,,,,,,,,25.18229498,-80.36369887,M,5.63,2.77,5.22,8.44,S,,03.20.2020,03.25.2020,AB
288,set018-10-18-19-B1.txt,1,B,B-1,18,0.295,942.1,13.194,155.1,783.1,0.523,1800.0,0.571,Petri2,10.18,1:30,North Key Largo,DD,C. corindum,Y,,B,bursts,,,,,,25.28636983,-80.29077075,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB
290,set018-10-18-19-B2.txt,2,B,B-2,18,0,0,0,0,0,0,1800.0,0,Petri2,10.18,1:30,Lake Placid,Barber shop,K. elegans,N,Y,,,,,,,,27.298660028,-81.36611608,M,5.42,2.89,8.59,11.97,L,wings torn at end,03.24.2020,03.26.2020,AB
39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800.0,0,Petri1,10.18,1:30,Key Largo,JP Grove,C. corindum,N,,,,,,,Y,,25.12846,-80.40809,F,7.78,3.44,8.82,11.79,L,wings torn at end,03.19.2020,03.25.2020,AB
78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800.0,0,B,10.18,1:30,North Key Largo,Dagny Trellis,C. corindum,N,,,,,,,,,25.1755048,-80.36782055,M,5.79,2.78,7.88,10.34,L,wings torn at end,03.20.2020,03.25.2020,AB
221,set019-10-18-19-A1.txt,1,A,A-1,19,0,0,0,0,0,0,1800.0,0,E,10.18,2:15,North Key Largo,Carysfort Cr,C. corindum,N,,,,,,,Y,,25.25647566,-80.31068981,F,,,,,,,,,
81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,North Key Largo,Dagny 1/2 Loop,C. corindum,N,,,,,,,,,25.173694,-80.371532,M,6.60,2.89,7.98,11.27,L,,03.20.2020,03.25.2020,AB
302,set019-10-18-19-A3.txt,3,A,A-3,19,0.444,1796.3,787.888,0,1796.3,0.998,1800.0,0.571,C,10.18,2:15,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,Y,,27.298660028,-81.36611608,F,6.97,3.64,10.09,13.49,L,,03.24.2020,03.26.2020,AB
271,set019-10-18-19-A4.txt,4,A,A-4,19,0.215,13.3,2.513,0,13.3,0.007,1800.0,0.393,C,10.18,2:15,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.66,3.23,8.63,11.63,L,,03.23.2020,03.26.2020,AB
85,set019-10-18-19-B1.txt,1,B,B-1,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,North Key Largo,Dagny 1/2 Loop,C. corindum,Y,,B,bursts,,,,Y,,25.173694,-80.371532,F,8.67,3.52,9.46,13.17,L,wings torn at end,03.20.2020,03.25.2020,AB
109,set019-10-18-19-B2.txt,2,B,B-2,19,0.178,1524.7,3.141,0,1515.4,0.847,1800.0,0.273,A,10.18,2:15,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB
351,set019-10-18-19-B3.txt,3,B,B-3,19,0.457,1239.0,566.727,0,1236.1,0.688,1800.0,0.524,D,10.18,2:15,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608,M,6.20,3.12,8.73,11.82,L,,03.24.2020,03.26.2020,AB
235,set019-10-18-19-B4.txt,4,B,B-4,19,0.19,1671.2,305.354,0,1671.2,0.928,1800.0,0.331,E,10.18,2:15,North Key Largo,Carysfort Cr,C. corindum,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB
73,set020-10-18-19-A1.txt,1,A,A-1,20,0,0,0,0,0,0,1800.0,0,B,10.18,3:00,North Key Largo,Dagny Trellis,C. corindum,N,,,,,,,,,25.1755048,-80.36782055,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB
49,set020-10-18-19-A2.txt,2,A,A-2,20,0.45,1797.0,776.579,0,1797.0,0.998,1800.0,0.628,A,10.18,3:00,Key Largo,JP Grove,C. corindum,Y,,C,continuous,,,,,,25.12846,-80.40809,M,6.58,3.33,9.56,12.32,L,,03.19.2020,03.25.2020,AB
123,set020-10-18-19-A3.txt,3,A,A-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB
239,set020-10-18-19-A4.txt,4,A,A-4,20,0,0,0,0,0,0,1800.0,0,Petri2,10.18,3:00,North Key Largo,DD front,C. corindum,N,,,,,,,Y,,25.27352007,-80.30428184,F,8.77,3.51,9.26,12.35,L,,03.23.2020,03.26.2020,AB
108,set020-10-18-19-B1.txt,1,B,B-1,20,0,0,0.628,0,0,0,1800.0,0,A,10.18,3:00,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,F,7.96,3.67,10.00,13.34,L,,03.20.2020,03.25.2020,AB
276,set020-10-18-19-B2.txt,2,B,B-2,20,0.445,993.2,440.438,0,993.2,0.552,1800.0,0.524,C,10.18,3:00,North Key Largo,DD,C. corindum,Y,,C,,started halfway through,,,,,25.28636983,-80.29077075,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB
92,set020-10-18-19-B3.txt,3,B,B-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB
103,set020-10-18-19-B4.txt,4,B,B-4,20,0.185,37.1,15.707,0,17.3,0.021,1800.0,0.314,A,10.18,3:00,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB
421,set021-10-21-19-A1.txt,1,A,A-1,21,0,0,1.257,0,0,0,1800.0,0,D,10.21,9:00,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,M,5.79,3.37,9.34,12.55,L,,03.24.2020,03.26.2020,AB
129,set021-10-21-19-A2.txt,2,A,A-2,21,0.286,1794.0,493.216,0,1794.0,0.997,1800.0,0.483,B,10.21,9:00,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB
335,set021-10-21-19-A3.txt,3,A,A-3,21,0,0,0,0,0,0,1800.0,0,D,10.21,9:00,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,7.79,3.72,9.73,13.44,L,,03.24.2020,03.26.2020,AB
413,set021-10-21-19-A4.txt,4,A,A-4,21,0,0,0,0,0,0,1800.0,0,D,10.21,9:00,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,F,6.78,3.25,9.03,11.85,L,,03.24.2020,03.26.2020,AB
128,set021-10-21-19-B1.txt,1,B,B-1,21,0,0,0,0,0,0,1800.0,0,B,10.21,9:00,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,M,5.88,2.89,7.94,10.62,L,wings torn at end,03.20.2020,03.25.2020,AB
208,set021-10-21-19-B2.txt,2,B,B-2,21,0,0,0,0,0,0,1800.0,0,E,10.21,9:00,North Key Largo,Charlemagne,C. corindum,N,,,,,,,Y,,25.1948419,-80.34590136,F,8.86,3.75,9.60,13.42,L,,03.23.2020,03.26.2020,AB
156,set021-10-21-19-B3.txt,3,B,B-3,21,0,0,0,0,0,0,1800.0,0,D,10.21,9:00,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461,F,,,,,,,,,
96,set021-10-21-19-B4.txt,4,B,B-4,21,0.283,1796.3,502.64,0,1796.3,0.998,1800.0,0.393,A,10.21,9:00,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB
136,set022-10-21-19-A1.txt,1,A,A-1,22,0.178,1275.9,3.77,0,1268.0,0.709,1800.0,0.251,B,10.21,10:00,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,paint came off at 40%,,,,,25.491968,-80.48562,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB
214,set022-10-21-19-A2.txt,2,A,A-2,22,0,0,1.257,0,0,0,1800.0,0,E,10.21,10:00,North Key Largo,Charlemagne,C. corindum,N,,,,,,,,,25.1948419,-80.34590136,M,5.12,2.35,3.86,6.85,S,,03.23.2020,03.26.2020,AB
152,set022-10-21-19-A3.txt,3,A,A-3,22,0.258,805.7,5.655,0,801.6,0.448,1800.0,0.331,D,10.21,10:00,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB
330,set022-10-21-19-A4.txt,4,A,A-4,22,0,0,0,0,0,0,1800.0,0,C,10.21,10:00,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608,M,5.81,3.18,8.57,11.66,L,wings torn at end,03.24.2020,03.26.2020,AB
134,set022-10-21-19-B1.txt,1,B,B-1,22,0.164,17.4,4.398,0,9.2,0.01,1800.0,0.209,B,10.21,10:00,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,5.27,3.16,8.45,11.21,L,,03.20.2020,03.25.2020,AB
272,set022-10-21-19-B2.txt,2,B,B-2,22,0,0,0,0,0,0,1800.0,0,C,10.21,10:00,North Key Largo,DD,C. corindum,N,Y,,,"died immediately after trial, should probably be excluded",,,,,25.28636983,-80.29077075,F,,,,,,,,,
204,set022-10-21-19-B3.txt,3,B,B-3,22,0,0,0,0,0,0,1800.0,0,E,10.21,10:00,North Key Largo,Charlemagne,C. corindum,N,,,,,,,,,25.1948419,-80.34590136,M,6.21,2.94,6.89,9.95,L,wings torn at end,03.23.2020,03.26.2020,AB
391,set022-10-21-19-B4.txt,4,B,B-4,22,0.148,423.1,5.655,0,412.5,0.235,1800.0,0.185,Petri1,10.21,10:00,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,,,28.812980,-81.877895,M,5.67,2.94,7.15,10.36,L,,03.24.2020,03.26.2020,AB
