ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
71,K.elegans,Leesburg,M,5.32,2.94,7.39,10.85,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
72,K.elegans,Leesburg,M,5.89,3.32,8.37,11.7,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
74,K.elegans,Leesburg,M,5.11,2.81,7.98,10.98,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
77,K.elegans,Leesburg,M,5.42,2.98,8.49,11.19,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.01.2020,04.03.2020,AB
81,K.elegans,Gainesville,M,6.03,3.36,8.9,12.29,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.01.2020,04.03.2020,AB
83,K.elegans,Gainesville,M,6.33,3.26,8.42,11.89,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,wings torn at the end,04.01.2020,04.03.2020,AB
86,K.elegans,Gainesville,M,5.18,3.05,8.23,11.06,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.01.2020,04.03.2020,AB
87,K.elegans,Gainesville,M,5.65,3.05,8.35,11.34,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.01.2020,04.03.2020,AB
90,K.elegans,Gainesville,M,5.56,3.1,8.23,11.32,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.01.2020,04.03.2020,AB
91,C. corindum,North Key Largo,F,6.99,3.17,7.17,10.93,February,2020,81,winter,LS,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.01.2020,04.03.2020,AB
92,C. corindum,North Key Largo,F,7.85,3.73,9.71,13.2,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.01.2020,04.03.2020,AB
93,C. corindum,North Key Largo,F,7.19,3.32,8.56,12.21,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.01.2020,04.03.2020,AB
95,C. corindum,North Key Largo,M,6.3,3.04,8.07,11.4,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.01.2020,04.03.2020,AB
96,C. corindum,North Key Largo,F,8.18,3.48,8.57,12.28,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.01.2020,04.03.2020,AB
97,C. corindum,North Key Largo,F,8.45,3.95,10,14.16,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.01.2020,04.03.2020,AB
98,C. corindum,North Key Largo,M,6.23,2.97,7.76,10.83,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.01.2020,04.03.2020,AB
99,C. corindum,North Key Largo,M,5.58,2.77,7.22,10.02,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.01.2020,04.03.2020,AB
100,C. corindum,North Key Largo,M,6.41,3.25,8.62,11.65,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.01.2020,04.03.2020,AB
101,C. corindum,Plantation Key,F,7.01,3.68,9.23,13.04,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,wings torn at the end,04.02.2020,04.03.2020,AB
102,C. corindum,Plantation Key,M,5.69,3.11,8.41,11.6,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
103,C. corindum,Plantation Key,F,8.26,3.53,9,12.53,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
104,C. corindum,Plantation Key,M,6.83,3.36,8.61,12.01,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,wings torn at the end,04.02.2020,04.03.2020,AB
105,C. corindum,Plantation Key,M,6.14,3.21,8.4,11.85,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,wings torn at the end,04.02.2020,04.03.2020,AB
106,C. corindum,Plantation Key,F,7.29,3.16,8.15,11.51,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
107,C. corindum,Plantation Key,M,5.67,3.13,8.17,11.13,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
108,C. corindum,Plantation Key,M,6.06,3.26,8.5,11.93,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
109,C. corindum,Plantation Key,F,6.76,3.59,9.29,12.87,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
110,C. corindum,Plantation Key,M,5.61,2.7,7.2,9.96,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
111,C. corindum,Key Largo,F,8.45,3.65,9.24,13.04,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
112,C. corindum,Key Largo,F,7.94,3.27,8.52,11.96,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
113,C. corindum,Key Largo,M,5.63,3.01,8.64,11.48,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
114,C. corindum,Key Largo,M,5.98,3.19,8.32,11.62,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
115,C. corindum,Key Largo,F,7.43,3.39,8.93,12.56,February,2020,81,winter,LS,25.1000151,-80.437522,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
116,C. corindum,Key Largo,F,7.57,3.33,8.38,12.11,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
118,C. corindum,Key Largo,M,5.57,3.01,8.53,11.47,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
119,C. corindum,Key Largo,F,6.96,3.18,8.31,11.78,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
120,C. corindum,Key Largo,M,6.27,2.96,8.02,11.09,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,wings torn at the end,04.02.2020,04.03.2020,AB
122,C. corindum,North Key Largo,M,5.67,2.98,7.01,10.08,February,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,2.5.2020,wings torn at the end,04.02.2020,04.03.2020,AB
123,C. corindum,North Key Largo,M,6.13,2.99,7.43,10.56,February,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
124,C. corindum,North Key Largo,M,6.44,3.09,8.24,11.42,February,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
125,C. corindum,North Key Largo,M,5.91,3.22,8.43,11.41,February,2020,81,winter,L,25.1820931,-80.3631938,non-diapausing,2.5.2020,,04.02.2020,04.03.2020,AB
126,C. corindum,North Key Largo,F,8.97,3.78,10.05,13.61,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,wings torn at the end,04.02.2020,04.03.2020,AB
129,C. corindum,North Key Largo,M,5.94,2.92,7.98,10.85,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
130,C. corindum,North Key Largo,F,9.02,3.71,9.47,13.43,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,,04.02.2020,04.03.2020,AB
131,C. corindum,North Key Largo,M,5.93,2.94,8.16,11.08,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,04.02.2020,04.03.2020,AB
132,C. corindum,North Key Largo,F,8.29,3.64,9.99,13.81,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,04.03.2020,04.03.2020,AB
133,C. corindum,North Key Largo,F,8.44,3.7,9.31,13.44,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,04.03.2020,04.03.2020,AB
135,C. corindum,North Key Largo,F,8.64,3.27,8.9,12.61,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,04.03.2020,04.03.2020,AB
136,C. corindum,North Key Largo,F,7.58,3.32,8.58,12.21,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,04.03.2020,04.03.2020,AB
