ID,sex,host_plant,egg_diff,mass_diff,flew_diff,mass_per,flight_case,egg_case
1,M,C. corindum,0,0.001,0,2.63157894736842,2,0
2,M,C. corindum,0,0.000999999999999994,1,2.70270270270269,1,0
3,M,C. corindum,0,-0.002,0,-4.16666666666667,2,0
4,M,C. corindum,0,0.00899999999999999,-1,25.7142857142857,-1,0
5,F,C. corindum,0,0.013,0,14.9425287356322,0,2
6,M,C. corindum,0,0.000999999999999994,0,2.38095238095237,2,0
7,F,C. corindum,1,0.041,0,64.0625,2,1
9,M,C. corindum,0,0.00600000000000001,-1,13.953488372093,-1,0
10,M,C. corindum,0,-0.00600000000000001,0,-10.5263157894737,2,0
11,M,C. corindum,0,0.00600000000000001,0,13.953488372093,2,0
12,F,C. corindum,1,0.064,-1,86.4864864864865,-1,1
13,F,C. corindum,0,-0.015,0,-11.4503816793893,0,2
14,M,C. corindum,0,0.006,0,26.0869565217391,0,0
15,M,C. corindum,0,0.004,0,9.52380952380951,2,0
17,M,C. corindum,0,0.001,0,2.5,2,0
18,M,C. corindum,0,0.002,-1,4.65116279069768,-1,0
19,F,C. corindum,0,-0.005,0,-10,2,0
20,F,C. corindum,1,0.039,-1,59.0909090909091,-1,1
21,M,C. corindum,0,0.01,0,29.4117647058823,2,0
22,M,C. corindum,0,0.003,0,6.97674418604652,0,0
24,M,C. corindum,0,-0.005,0,-11.9047619047619,2,0
25,F,C. corindum,0,0.00699999999999999,0,13.4615384615384,2,0
26,F,C. corindum,1,0.042,0,107.692307692308,2,1
27,F,C. corindum,0,-0.032,0,-26.6666666666667,0,2
28,M,C. corindum,0,0,0,0,2,0
29,F,C. corindum,0,0.018,0,37.5,0,2
30,F,C. corindum,0,0.021,0,23.0769230769231,0,2
31,F,C. corindum,0,-0.026,0,-25.7425742574257,0,2
33,M,C. corindum,0,0.001,0,2.27272727272727,2,0
35,M,C. corindum,0,0.018,0,56.25,2,0
36,M,C. corindum,0,-0.007,0,-13.7254901960784,2,0
37,F,C. corindum,1,-0.004,0,-6.06060606060607,0,1
38,M,C. corindum,0,0.002,0,5,2,0
40,M,C. corindum,0,0.003,0,9.0909090909091,2,0
41,F,K.elegans,0,0.001,0,0.819672131147542,0,2
42,F,K.elegans,0,0.015,-1,21.7391304347826,-1,0
43,F,K.elegans,0,0.005,0,8.06451612903227,0,2
44,F,K.elegans,0,0.004,0,6.45161290322581,2,0
45,M,K.elegans,0,-0.002,0,-6.06060606060607,2,0
46,M,K.elegans,0,-0.001,0,-3.03030303030303,2,0
47,F,K.elegans,1,0.027,-1,45.7627118644068,-1,1
48,F,K.elegans,1,NA,0,NA,0,1
49,M,K.elegans,0,-0.00100000000000001,0,-1.92307692307694,0,0
50,M,K.elegans,0,0.001,0,2.08333333333334,0,0
52,M,K.elegans,0,0.001,0,2.63157894736842,2,0
53,F,K.elegans,-1,-0.039,0,-36.7924528301887,2,-1
54,F,K.elegans,0,-0.022,0,-23.4042553191489,0,2
56,M,K.elegans,0,0.013,0,36.1111111111111,2,0
57,M,K.elegans,0,-0.002,0,-5.71428571428572,0,0
59,F,K.elegans,0,-0.014,0,-15.7303370786517,0,2
62,M,K.elegans,0,0.003,0,9.0909090909091,2,0
63,F,K.elegans,1,0.018,-1,26.0869565217391,-1,1
66,M,K.elegans,0,0.001,0,2.77777777777778,2,0
69,F,K.elegans,0,0.028,0,46.6666666666667,2,0
71,M,K.elegans,0,-0.004,0,-11.4285714285714,2,0
72,M,K.elegans,0,0.002,0,4.54545454545455,2,0
77,M,K.elegans,0,-0.002,0,-5.55555555555556,2,0
81,M,K.elegans,0,0.009,1,23.6842105263158,1,0
83,M,K.elegans,0,0.011,0,22.9166666666667,0,0
87,M,K.elegans,0,0.005,-1,15.625,-1,0
90,M,K.elegans,0,0.006,0,18.1818181818182,2,0
91,F,C. corindum,0,0.00299999999999999,0,3.79746835443037,0,2
92,F,C. corindum,1,0.054,0,64.2857142857143,2,1
95,M,C. corindum,0,-0.00600000000000001,0,-12.2448979591837,2,0
96,F,C. corindum,-1,0.00599999999999999,0,6.12244897959183,0,-1
97,F,C. corindum,1,0.031,0,31.3131313131313,0,1
98,M,C. corindum,0,0.007,0,21.2121212121212,0,0
99,M,C. corindum,0,0.008,0,26.6666666666667,0,0
100,M,C. corindum,0,0,0,0,2,0
101,F,C. corindum,1,-0.026,0,-28.8888888888889,0,1
102,M,C. corindum,0,-0.000999999999999994,0,-2.32558139534882,2,0
