ID,filename,channel_num,channel_letter,chamber,test_date,days_from_start,time_start,sex,population,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude,trial_type,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
149,set012-10-17-19-A2.txt,2,A,A-2,10.17,2,12:20,F,Lake Wales,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,T30,12,0,0,0.6283,0,0,0,1800,0
226,set012-10-17-19-A3.txt,3,A,A-3,10.17,2,12:20,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.25647566,-80.31068981,T30,12,0.26007891,540.6,6.9113,0,532.3,0.300333333,1800,0.349055556
287,set012-10-17-19-A4.txt,4,A,A-4,10.17,2,12:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,12,0,0,0.6283,0,0,0,1800,0
386,set012-10-17-19-B1.txt,1,B,B-1,10.17,2,12:20,M,Leesburg,K. elegans,N,Y,,,,,,,,28.81298,-81.877895,T30,12,0,0,0,0,0,0,1800,0
101,set012-10-17-19-B2.txt,2,B,B-2,10.17,2,12:20,M,Homestead,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,T30,12,0.376604874,1796.8,670.3961,0,1796.8,0.998222222,1800,0.483307692
13,set012-10-17-19-B3.txt,3,B,B-3,10.17,2,12:20,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,12,0,0,0,0,0,0,1800,0
41,set012-10-17-19-B4.txt,4,B,B-4,10.17,2,12:20,M,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T30,12,0,0,0,0,0,0,1800,0
298,set013-10-17-19-A1.txt,1,A,A-1,10.17,2,1:25,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,13,0,0,1.2566,0,0,0,1800,0
64,set013-10-17-19-A2.txt,2,A,A-2,10.17,2,1:25,F,Key Largo,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596,T30,13,0,0,0.6283,0,0,0,1800,0
197,set013-10-17-19-A3.txt,3,A,A-3,10.17,2,1:25,M,North Key Largo,C. corindum ,Y,,B,,,,,,,25.1948419,-80.34590136,T30,13,0,0,1.2566,0,0,0,1800,0
258,set013-10-17-19-A4.txt,4,A,A-4,10.17,2,1:25,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,13,0,0,0.6283,0,0,0,1800,0
321,set013-10-17-19-B1.txt,1,B,B-1,10.17,2,1:25,M,Lake Placid,K. elegans,N,,,,,,,,,27.29866003,-81.36611608,T30,13,0,0,0,0,0,0,1800,0
390,set013-10-17-19-B2.txt,2,B,B-2,10.17,2,1:25,M,Leesburg,K. elegans,N,,,,,,,,,28.81298,-81.877895,T30,13,0,0,0,0,0,0,1800,0
339,set013-10-17-19-B3.txt,3,B,B-3,10.17,2,1:25,M,Lake Placid,K. elegans,Y,,C,,,,,,,27.29866003,-81.36611608,T30,13,0.263176033,1793.9,464.942,0,1793.9,0.996611111,1800,0.330684211
33,set013-10-17-19-B4.txt,4,B,B-4,10.17,2,1:25,M,Plantation Key,C. corindum ,N,Y,,,,,,,,24.96448253,-80.56738908,T30,13,0,0,1.2566,0,0,0,1800,0
21,set014-10-17-19-A1.txt,1,A,A-1,10.17,2,2:20,M,Plantation Key,C. corindum ,N,,,,,,,,,24.96448253,-80.56738908,T30,14,0,0,0,0,0,0,1800,0
264,set014-10-17-19-A2.txt,2,A,A-2,10.17,2,2:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,14,0.190393939,0,4.3981,0,0,0,1800,0
269,set014-10-17-19-A3.txt,3,A,A-3,10.17,2,2:20,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,14,0,0,0,0,0,0,1800,0
155,set014-10-17-19-A4.txt,4,A,A-4,10.17,2,2:20,M,Lake Wales,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,T30,14,0.149433972,29.4,9.4245,0,13.1,0.016333333,1800,0.216655172
381,set014-10-17-19-B1.txt,1,B,B-1,10.17,2,2:20,F,Leesburg,K. elegans,N,,,,,,,Y,,28.81298,-81.877895,T30,14,0,0,0,0,0,0,1800,0
387,set014-10-17-19-B2.txt,2,B,B-2,10.17,2,2:20,F,Leesburg,K. elegans,Y,,B,bursts,,,,Y,,28.81298,-81.877895,T30,14,0.221011691,779.2,11.9377,0,742.3,0.432888889,1800,0.299190476
68,set014-10-17-19-B3.txt,3,B,B-3,10.17,2,2:20,M,North Key Largo,C. corindum ,Y,,,,,,,Y,,25.1755048,-80.36782055,T30,14,0.413242094,224.8,89.2186,224.8,224.8,0.124888889,1800,1.2566
116,set014-10-17-19-B4.txt,4,B,B-4,10.17,2,2:20,F,Homestead,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562,T30,14,0.29097256,319.1,23.8754,71.3,240.8,0.177277778,1800,0.483307692
229,set016-10-18-19-A1.txt,1,A,A-1,10.18,3,10:55,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,T30,16,0,0,0,0,0,0,1800,0
275,set016-10-18-19-A2.txt,2,A,A-2,10.18,3,10:55,F,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,16,0,0,0,0,0,0,1800,0
125,set016-10-18-19-A3.txt,3,A,A-3,10.18,3,10:55,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,16,0.265430593,526.4,81.679,67.4,232.3,0.292444444,1800,0.369588235
120,set016-10-18-19-A4.txt,4,A,A-4,10.18,3,10:55,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,16,0.370945165,462.9,82.9356,212.3,223.4,0.257166667,1800,0.448785714
375,set017-10-18-19-A1.txt,1,A,A-1,10.18,3,11:45,F,Leesburg,K. elegans,N,,,,,,,Y,,28.81298,-81.877895,T30,17,0,0,0.6283,0,0,0,1800,0
331,set017-10-18-19-A2.txt,2,A,A-2,10.18,3,11:45,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,17,0,0,0.6283,0,0,0,1800,0
69,set017-10-18-19-A3.txt,3,A,A-3,10.18,3,11:45,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1755048,-80.36782055,T30,17,0,0,0,0,0,0,1800,0
