ID,petri,test_date,time_start,set_number,chamber,population,flew,flight_type,time_end,mass,eggs,notes,died?
330,,11.06,8:32am,73,B-4,Lake Placid,Y,continuous,10:12am,0.046,,,
99,P,11.06,9:14am,73,A-1,Homestead,Y,bursts to continuous,4:37pm,0.046,,,
109,,11.06,9:14am,73,A-3,Homestead,Y,bursts,,0.093,,,
68,P,11.06,9:15am,73,A-4,North Key Largo,N,,,0.080,Y,,
376,,11.06,9:16am,73,B-1,Leesburg,Y,continuous,9:57am,0.085,,,
103,,11.06,9:18am,73,B-2,Homestead,Y,bursts,,0.052,,,
336,,11.06,9:54am,73,A-3,Lake Placid,N,,,0.054,,,
116,,11.06,9:55am,73,A-4,Homestead,Y,bursts,,0.039,,,
126,,11.06,9:58am,73,B-1,Homestead,Y,bursts,,0.054,,,
124,,11.06,9:59am,73,B-2,Homestead,Y,bursts,,0.052,,,
183,P,11.06,10:30am,73,A-2,North Key Largo,Y,continuous,11:08am,0.043,,,
50,,11.06,10:31am,73,A-3,Key Largo,N,,,0.050,,,
155,,11.06,10:32am,73,A-4,Lake Wales,N,,,0.044,,,
120,,11.06,10:34am,73,B-1,Homestead,Y,continuous,2:57pm,0.039,,,
262,,11.06,10:35am,73,B-2,North Key Largo,N,,,0.049,,,
235,,11.06,10:36am,73,B-4,North Key Largo,Y,bursts,,0.115,,,
113,,11.06,11:10am,73,A-2,Homestead,Y,continuous,4:08pm,0.049,,,
89,P,11.06,11:11am,73,A-3,Homestead,Y,continuous,8:30pm,0.054,,,
380,,11.06,11:12am,73,A-4,Leesburg,N,,,0.098,,,
90,P,11.06,11:13am,73,B-2,Homestead,N,,,0.070,,,
413,,,,,,Gainesville,,,,,,,Y
73,,11.06,11:15am,73,B-4,North Key Largo,N,,,0.039,,,
300,,11.06,11:47am,73,A-4,Lake Placid,N*,,,0.036,,paint fell off,
346,,,,,,Lake Placid,,,,,,,Y
12,,11.06,11:49am,73,B-2,Planatation Key,N,,,0.090,,,
223,,11.06,11:50am,73,B-4,North Key Largo,N,,,0.111,,,
92,,11.06,12:25pm,73,A-4,Homestead,N,,,0.040,,,
259,,11.06,12:26pm,73,B-2,North Key Largo,N,,,0.045,,,
320,,11.06,12:27pm,73,B-4,Lake Placid,N,,,0.106,,,
84,,11.06,1:01pm,73,A-4,North Key Largo,Y,bursts,,0.042,,,
96,,11.06,1:10pm,73,B-2,Homestead,Y,bursts,,0.050,,,
67,P,11.06,1:10pm,73,B-3,North Key Largo,Y,bursts,,0.042,,,
312,,11.06,1:11pm,73,B-4,Lake Placid,Y,bursts,,0.041,,,
308,,11.06,1:46pm,73,A-4,Lake Placid,Y,bursts,,0.037,,,
136,,11.06,1:48pm,73,B-2,Homestead,N,,,0.042,,,
152,,11.06,1:49pm,73,B-3,Lake Wales,Y,bursts,,0.046,,,
288,P,11.06,1:50pm,73,B-4,North Key Largo,Y,bursts,,0.041,,,
129,,11.06,2:23pm,73,A-4,Homestead,Y,bursts,,0.050,,*wrong pulled,
299,P,11.06,2:25pm,73,B-2,Lake Placid,Y,bursts,,0.040,,,
197,,11.06,2:26pm,73,B-3,North Key Largo,Y,bursts,,0.032,,,
387,,11.06,2:27pm,73,B-4,Leesburg,Y,bursts,,0.062,,,
328,,11.06,3:00pm,73,A-4,Lake Placid,Y,bursts,,0.069,Y,,
311,,11.06,3:01pm,73,B-1,Lake Placid,N,,,0.046,,,
318,,11.06,3:02pm,73,B-2,Lake Placid,Y,bursts,,0.039,,,
123,,11:06,3:35pm,73,A-4,Homestead,Y,bursts,,0.049,,,
329,,11.07,8:53am,74,A-1,Lake Placid,Y,bursts,,0.046,,,
296,,11.07,8:55am,74,A-2,Lake Placid,Y,bursts,,0.065,,,
111,,11.07,8:55am,74,A-3,Homestead,Y,bursts,,0.041,,,
276,,11.07,8:56am,74,A-4,North Key Largo,Y,continuous,7:30pm,0.055,,,
129,,11.07,8:57am,74,B-1,Homestead,Y,bursts,,0.045,,,
313,,11.07,8:58am,74,B-2,Lake Placid,Y,continuous,9:43am,0.066,,,
332,,11.07,8:59am,74,B-3,Lake Placid,Y,continuous,10:11am,0.048,,,
257,P,11.07,9:00am,74,B-4,North Key Largo,Y,bursts,,0.034,,,
226,,11.07,9:32am,74,A-1,North Key Largo,Y,bursts,,0.037,,,
101,,11.07,9:33am,74,A-2,Homestead,Y,continuous,2:28pm,0.044,,,
109,,11.07,9:34am,74,A-3,Homestead,Y,bursts to continuous,4:02pm,0.084,,,
68,,11.07,9:35am,74,B-1,North Key Largo,N,,,0.078,,,
103,,11.07,9:36am,74,B-4,Homestead,Y,bursts,,0.049,,,
336,,11.07,10:09am,74,A-1,Lake Placid,Y,bursts,,0.049,,,
