ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID ,mass,EWM,NOTES
324,,,,,,,28/28,70,Plantation Key,,,324,,,
151,,,,,,,28/28,70,Lake Placid,,,151,,,
318,,,,,,,28/28,70,Plantation Key,,,318,,,
328,,,,,,,28/28,70,Plantation Key,,,328,,,
267,,,,,,,28/28,70,Lake Wales,,,267,,,
245,,,,,,,28/28,70,Lake Place,,,245,,,
295,,,,,,,28/28,70,Leesburg,,,295,,,
42,,,,,,,28/28,70,Homstead,,,42,,,
132,,,,,,,28/28,70,Homestead,,,132,,,
9,,,,,,,28/28,70,Plantation Key,,,9,,,
26,,,,,,,28/28,70,Homstead,,,26,,,
238,,,,,,,28/28,70,Homstead,,,238,,,
8,,,,,,,28/28,70,Plantation Key,,,8,,,
29,,,,,,,28/28,70,Homstead,,,29,,,
221,,,,,,,28/28,70,Homstead,,,221,,,
397,,,,,,,28/28,70,Leesburg,,,397,,,
290,,,,,,,28/28,70,Leesburg,,,290,,,
170,,,,,,,28/28,70,Lake Wales,,,170,,,
74,,,,,,,28/28,70,Lake Wales,,,74,,,
65,,,,,,,28/28,70,Lake Placid,,,65,,,
224,,,,,,,28/28,70,Homstead,,,224,,,
381,,,,,,,28/28,70,Leesburg,,,381,,,
131,,,,,,,28/28,70,Homestead,,,131,,,
31,,,,,,,28/28,70,Homstead,,,31,,,
121,,,,,,,28/28,70,Homestead,,,121,,,
358,,,,,,,28/28,70,Homestead,,,358,,,
376,,,,,,,28/28,70,Lake Placid,,,376,,,
25,,,,,,,28/28,70,Homstead,,,25,,,
251,,,,,,,28/28,70,Lake Place,,,251,,,
306,,,,,,,28/28,70,Plantation Key,,,306,,,
67,,,,,,,28/28,70,Lake Wales,,,67,,,
108,,,,,,,28/28,70,Plantation Key,,,108,,,
342,,,,,,,28/28,70,Plantation Key,,,342,,,
125,,,,,,,28/28,70,Homestead,,,125,,,
7,,,,,,,28/28,70,Plantation Key,,,7,,,
220,,,,,,,28/28,70,Homstead,,,220,,,
39,,,,,,,28/28,70,Homstead,,,39,,,
56,,,,,,,28/28,70,Lake Placid,,,56,,,
34,,,,,,,28/28,70,Homstead,,,34,,,
200,,,,,,,28/28,70,Leesburg,,,200,,,
149,,,,,,,28/28,70,Lake Placid,,,149,,,
303,,,,,,,28/28,70,Plantation Key,,,303,,,
181,,,,,,,28/28,70,Leesburg,,,181,,,
141,,,,,,,28/28,70,Homestead,,,141,,,
172,,,,,,,28/28,70,Lake Wales,,,172,,,
41,,,,,,,28/28,70,Homstead,,,41,,,
392,,,,,,,28/28,70,Leesburg,,,392,,,
269,,,,,,,28/28,70,Lake Wales,,,269,,,
232,,,,,,,28/28,70,Homstead,,,232,,,
356,,,,,,,28/28,70,Homestead,,,356,,,
