,sex,mass_per,flight_case,egg_case
218,2,-3.6585365853658396,0,3
219,1,16.6666666666667,2,0
220,1,26.6666666666667,3,0
221,1,11.764705882352901,3,0
222,1,13.7931034482759,3,0
223,1,0.0,3,0
224,1,14.8148148148148,2,0
225,1,25.9259259259259,3,0
226,1,5.26315789473685,2,0
227,1,10.7142857142857,2,0
228,1,0.0,0,0
229,1,19.2307692307692,3,0
230,2,1.88679245283019,0,3
231,1,-3.22580645161291,3,0
232,2,23.809523809523803,2,1
233,1,-6.4516129032258,0,0
234,1,8.823529411764712,3,0
235,1,14.0,3,0
236,1,6.45161290322581,3,0
237,2,-2.98507462686567,3,3
238,2,-17.8947368421053,0,3
239,1,-3.9215686274509705,3,0
240,2,32.6530612244898,0,3
241,2,3.77358490566038,3,0
242,1,42.3076923076923,2,0
243,2,-4.0,0,3
244,1,23.076923076923105,3,0
245,1,-6.25000000000001,0,0
246,1,-9.80392156862745,3,0
247,1,-12.7659574468085,2,0
248,1,0.0,0,0
249,2,1.04166666666667,0,3
250,1,3.70370370370369,3,0
251,1,9.375000000000009,3,0
252,1,9.375000000000009,3,0
253,2,-26.3157894736842,0,2
254,1,37.931034482758605,3,0
255,1,20.4545454545455,3,0
256,1,33.3333333333333,2,0
257,1,20.0,3,0
258,1,14.285714285714299,0,0
259,1,0.0,3,0
260,1,32.3529411764706,3,0
261,1,-8.10810810810811,2,0
262,1,-6.521739130434789,2,0
263,1,10.8108108108108,0,0
264,2,-21.5189873417722,0,3
265,1,0.0,3,0
266,1,30.7692307692308,3,0
267,2,50.0,2,1
268,1,55.5555555555556,3,0
269,1,-23.2558139534884,3,0
270,2,0.0,0,3
271,2,17.7215189873418,0,3
272,1,-2.5,2,0
273,1,-2.5641025641025696,3,0
274,1,17.1428571428571,2,0
275,1,-13.5135135135135,1,0
276,1,-2.17391304347826,2,0
277,2,4.3478260869565295,3,1
278,1,21.212121212121197,3,0
279,1,21.1538461538461,3,0
280,1,-8.33333333333334,3,0
