ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
433,set011-3-03-2020-A4_433.txt,T2,A-4,A,4,11,0.20263816455355607,6.0,3.1414999999999997,0,6.0,0.0027387880862718246,2190.75,0.3050000000000754
441,set011-3-03-2020-A4_441.txt,T2,A-4,A,4,11,0.4215013107855048,135.92999999999665,34.55649999999999,0,34.529999999998836,0.061763062117472345,2200.83,1.2822448979597547
230,set011-3-03-2020-B1_230.txt,T2,B-1,B,1,11,0.4755486532922515,22492.510000000002,10628.322800002845,0,15450.51,0.9606850726882812,23412.99,0.6346464646466046
18,set011-3-03-2020-B2_18.txt,T2,B-2,B,2,11,0.6497383899992377,436.1800000000003,35.184799999999996,74.69000000000051,341.8100000000004,0.19888651276041802,2193.1099999999997,1.3962222222227865
187,set011-3-03-2020-B2_187.txt,T2,B-2,B,2,11,0.5874732888810467,106.55999999999995,30.158399999999983,0,59.01000000000022,0.046464778598992715,2293.35,1.3962222222227865
295,set011-3-03-2020-B2_295.txt,T2,B-2,B,2,11,0.4587313476962246,1720.4700000000012,12.565999999999997,0,1689.9300000000012,0.7520489922236652,2287.71,1.2822448979597547
36,set011-3-03-2020-B2_36.txt,T2,B-2,B,2,11,0.46042185835992594,37740.689999999995,17164.527700006052,68.82999999999993,18923.96,0.9843390195651409,38341.149999999994,1.3658695652199837
417,set011-3-03-2020-B2_417.txt,T2,B-2,B,2,11,0.23356877323420092,0,2.5132,0,0,0,2356.63,0
13,set011-3-03-2020-B3_13.txt,T2,B-3,B,3,11,0,0,0,0,0,0,2073.1899999999987,0
197,set011-3-03-2020-B3_197.txt,T2,B-3,B,3,11,0,0,0.6283,0,0,0,2287.830000000001,0
256,set011-3-03-2020-B3_256.txt,T2,B-3,B,3,11,0,0,0,0,0,0,2390.67,0
26,set011-3-03-2020-B3_26.txt,T2,B-3,B,3,11,0.5194815284178006,568.8000000000002,3.1414999999999997,0,562.8000000000002,0.2483810255760842,2290.03,0.14476958525345135
262,set011-3-03-2020-B3_262.txt,T2,B-3,B,3,11,0,0,0,0,0,0,2193.9900000000007,0
320,set011-3-03-2020-B3_320.txt,T2,B-3,B,3,11,0.20007668206135867,565.8699999999999,4.3980999999999995,0,550.6999999999999,0.23912795439466863,2366.39,0.24932539682539862
387,set011-3-03-2020-B3_387.txt,T2,B-3,B,3,11,0.3580382445878669,52.22999999999956,11.937699999999998,0,52.22999999999956,0.023848552785983815,2190.0699999999997,0.6411224489798774
46,set011-3-03-2020-B3_46.txt,T2,B-3,B,3,11,0.3461853530505825,88.66000000000167,8.167900000000001,69.92000000000007,69.92000000000007,0.04764745398360961,1860.7500000000018,1.2082692307682164
114,set011-3-03-2020-B4_114.txt,T2,B-4,B,4,11,0,0,0,0,0,0,2285.830000000001,0
29,set011-3-03-2020-B4_29.txt,T2,B-4,B,4,11,0,0,0,0,0,0,2290.3499999999995,0
332,set011-3-03-2020-B4_332.txt,T2,B-4,B,4,11,0,0,0,0,0,0,2373.75,0
396,set011-3-03-2020-B4_396.txt,T2,B-4,B,4,11,0.2910330811497977,2101.960000000001,601.2831000000041,0,2101.960000000001,0.4635473292593911,4534.509999999998,0.39765822784811955
42,set011-3-03-2020-B4_42.txt,T2,B-4,B,4,11,0,0,0,0,0,0,2195.1500000000005,0
72,set011-3-03-2020-B4_72.txt,T2,B-4,B,4,11,0.21263836059165303,4119.610000000001,830.6125999999922,0,4119.610000000001,0.4510513666945863,9133.350000000002,0.3414673913043208
142,set012-3-04-2020-A1_142.txt,T2,A-1,A,1,12,0.6317365222601695,694.25,116.23549999999979,199.51000000000204,488.9500000000007,0.3693546070237226,1879.630000000001,1.3962222222199647
282,set012-3-04-2020-A1_282.txt,T2,A-1,A,1,12,0.3413781286819524,2755.0699999999997,927.3707999999872,0,2755.0699999999997,0.64333667252777,4282.47,1.1854716981132685
33,set012-3-04-2020-A1_33.txt,T2,A-1,A,1,12,0.5205269257408517,3228.91,1662.4818000000646,0,3228.91,0.7641178795315302,4225.669999999998,0.6981111111099824
47,set012-3-04-2020-A1_47.txt,T2,A-1,A,1,12,0.49186637343883494,2251.6500000000005,3.7697999999999996,0,2250.5600000000004,0.9436172308156517,2386.1900000000005,0.6904395604396708
66,set012-3-04-2020-A1_66.txt,T2,A-1,A,1,12,0.4207012918130553,16126.159999999996,6619.140500000876,197.77999999999884,10899.039999999997,0.9581230812923065,16830.989999999998,1.3962222222199647
232,set012-3-04-2020-A2_232.txt,T2,A-2,A,2,12,0.2621889874944564,28060.59,7048.269400001087,0,28060.59,0.998218470068483,28110.67,0.4619852941180672
254,set012-3-04-2020-A2_254.txt,T2,A-2,A,2,12,0,0,0,0,0,0,2272.71,0
281,set012-3-04-2020-A2_281.txt,T2,A-2,A,2,12,0,0,0,0,0,0,2019.99,0
383,set012-3-04-2020-A2_383.txt,T2,A-2,A,2,12,0.3532253851074607,5526.419999999999,1805.105900000083,0,5526.419999999999,0.8247661773067745,6700.589999999999,0.8159740259735633
131,set012-3-04-2020-A3_131.txt,T2,A-3,A,3,12,0.25204746162513186,9293.019999999997,2319.6836000000512,0,9293.019999999997,0.8172396477777687,11371.23,0.4363194444448413
301,set012-3-04-2020-A3_301.txt,T2,A-3,A,3,12,0,0,0,0,0,0,2047.3499999999985,0
312,set012-3-04-2020-A3_312.txt,T2,A-3,A,3,12,0.39951402559539023,6.209999999999127,3.7697999999999996,0,6.209999999999127,0.003007861124968699,2064.59,0.4986507936514271
351,set012-3-04-2020-A3_351.txt,T2,A-3,A,3,12,0.31776117732668124,10330.92,3187.994199999849,0,10308.16,0.9280956149815252,11131.31,1.282244897959197
412,set012-3-04-2020-A3_412.txt,T2,A-3,A,3,12,0.2451456520199537,10208.44,2472.3605000000157,0,10208.44,0.9880075684621603,10332.349999999999,0.5149999999995085
444,set012-3-04-2020-A3_444.txt,T2,A-3,A,3,12,0.3789324264947012,55.63999999999942,20.105599999999992,0,55.63999999999942,0.02579377036868746,2157.1100000000006,0.5324576271185127
129,set012-3-04-2020-A4_129.txt,T2,A-4,A,4,12,0.3220618753755105,44.62999999999738,18.848999999999993,0,25.06000000000131,0.023932476418760604,1864.8300000000017,0.622079207921778
145,set012-3-04-2020-A4_145.txt,T2,A-4,A,4,12,0.44925275468567294,15780.18,6849.098300000989,92.21999999999753,15584.7,0.919349285240301,17164.510000000002,1.3658695652199837
