ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
206,,,F,Plantation Key,Founder's,C. corindum,N,,0.679764673,
69,,,M,Lake Wales,Alley,K. elegans,N,,0.217236104,
304,,,M,Plantation Key,Founder's,K. elegans,N,,0.236478413,
151,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.412510322,
140,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.567581435,
349,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.595151392,
228,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.22701048,
227,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.716300161,
154,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.960412368,
191,,,F,Leesburg,Vet's Park,K. elegans,N,,0.377035076,
370,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.73101512,
388,,,F,Leesburg,Vet's Park,K. elegans,N,,0.826180351,
231,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.666705072,
209,,,F,Plantation Key,Founder's,C. corindum,N,,0.95418434,
305,,,M,Plantation Key,Founder's,K. elegans,N,,0.584022222,
283,,,F,Leesburg,Vet's Park,K. elegans,N,,0.755475629,
240,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.554209426,
201,,,F,Plantation Key,Founder's,C. corindum,N,,0.788232816,
10,,,M,Plantation Key,Founder's,C. corindum,N,,0.245156319,
363,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.819574489,
168,,,M,Lake Wales,Alley,K. elegans,N,,0.82045182,
33,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.456181552,
307,,,M,Plantation Key,Founder's,K. elegans,N,,0.673775078,
32,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.142004251,
267,,,M,Lake Wales,Alley,K. elegans,N,,0.78615163,
352,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.312694782,
157,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.353676,
371,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.126416906,
145,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.115057581,
354,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.57547114,
351,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.025645022,
306,,,M,Plantation Key,Founder's,K. elegans,N,,0.603184153,
164,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.992557589,
121,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.256156137,
160,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.894544083,
216,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.912206768,
256,,,M,Lake Place,Sheriff's,K. elegans,N,,0.08158023,
27,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.906982185,
301,,,M,Plantation Key,Founder's,K. elegans,N,,0.039862026,
66,,,M,Lake Wales,Alley,K. elegans,N,,0.790656435,
214,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.978974309,
376,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.894169857,
280,,,M,Lake Wales,Alley,K. elegans,N,,0.440613894,
322,,,M,Plantation Key,Founder's,K. elegans,N,,0.530893393,
396,,,M,Leesburg,Vet's Park,K. elegans,N,,0.169623214,
333,,,M,Plantation Key,Founder's,K. elegans,N,,0.383451618,
142,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.318004755,
218,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.669069901,
139,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.677940387,
16,,,F,Key Largo,JP Grove,C. corindum,N,,0.466064307,
62,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.356546815,
251,,,M,Lake Place,Sheriff's,K. elegans,N,,0.463988587,
374,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.846255993,
63,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.269509662,
381,,,M,Leesburg,Vet's Park,K. elegans,N,,0.546430269,
202,,,F,Plantation Key,Founder's,C. corindum,N,,0.049588137,
