ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
14,,C-2,002,8.17.21,10:03,10:38,28/28,70,Key Largo,N,,14,0.037,N,,
20,,C-3,002,8.17.21,10:04,10:38,28/28,70,Key Largo,N,,20,0.059,Y,3 eggs,
35,,D-1,002,8.17.21,10:05,12:26,28/28,70,Homstead,Y,BC,35,0.035,N,,
26,,D-2,002,8.17.21,10:06,10:39,28/28,70,Homstead,Y,B,26,0.030,N,,
301,,D-3,002,8.17.21,10:07,11:58,28/28,70,Plantation Key,Y,C,301,0.040,N,,
207,,D-4,002,8.17.21,10:08,10:39,28/28,70,Plantation Key,Y,B,207,0.031,N,,
164,,C-1,002,8.17.21,10:40,12:35,28/28,70,Lake Placid,Y,C,164,0.060,N,,
277,,C-2,002,8.17.21,10:41,11:16,28/28,70,Lake Wales,N,,277,0.053,N,wing torn,
384,,C-3,002,8.17.21,10:42,11:16,28/28,70,Leesburg,Y,B,384,0.027,N,,
77,Y,,,,,,28/28,70,Lake Wales,,,77,,,,
332,,D-2,002,8.17.21,10:43,11:23,28/28,70,Plantation Key,Y,B,332,0.044,N,,
376,,D-4,002,8.17.21,10:44,11:17,28/28,70,Lake Placid,N,,376,0.031,N,wing torn,
225,,C-2,002,8.17.21,11:18,11:56,28/28,70,Homstead,Y,C,225,0.045,N,,
190,,C-3,002,8.17.21,11:19,11:57,28/28,70,Leesburg,Y,B,190,0.039,N,,
10,,D-4,002,8.17.21,11:20,11:58,28/28,70,Plantation Key,Y,B,10,0.036,N,,
200,,D-2,002,8.17.21,11:24,11:57,28/28,70,Leesburg,N,,200,0.028,N,,
62,,C-2,002,8.17.21,11:59,13:07,28/28,70,Lake Placid,Y,C,62,0.044,N,"flying in place at 12:25, 12:56, etc.",
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
45,,,,,,,28/28,70,Homstead,,,45,,,not prepped ,
255,,C-3,002,8.17.21,12:01,8:00,28/28,70,Lake Place,Y,C,255,0.045,N,,Y
100,Y,,,,,,28/28,70,Gainesville,,,100,,,,
351,,D-2,002,8.17.21,12:01,12:40,28/28,70,Homestead,Y,C,351,0.033,N,,
145,,D-3,002,8.17.21,12:02,12:36,28/28,70,Homestead,N,,145,0.033,N,bug seemingly about to die,
259,,D-4,002,8.17.21,12:04,12:36,28/28,70,Lake Place,N,,259,0.030,N,,
56,,C-1,002,8.17.21,12:40,13:15,28/28,70,Lake Placid,Y,B,56,0.047,N,,
268,,D-1,002,8.17.21,12:41,13:16,28/28,70,Lake Wales,N,,268,0.032,N,,
71,,D-2,002,8.17.21,12:42,13:17,28/28,70,Lake Wales,N,,71,0.056,N,,
22,,D-3,002,8.17.21,12:43,13:17,28/28,70,Homstead,Y,B,22,0.064,N,,
227,,,,,,,28/28,70,Homstead,,,227,,,not prepped,
135,,D-4,002,8.17.21,12:44,13:17,28/28,70,Homestead,Y,B,135,0.031,N,,
182,,C-1,002,8.17.21,13:18,13:53,28/28,70,Leesburg,Y,B,182,0.076,N,,
361,,C-2,002,8.17.21,13:19,14:18,28/28,70,Homestead,Y,BC,361,0.031,N,,
177,,D-1,002,8.17.21,13:20,13:53,28/28,70,Leesburg,Y,C,177,0.054,N,,
180,Y,,,,,,28/28,70,Leesburg,,,180,,,,
91,Y,,,,,,28/28,70,Gainesville,,,91,,,,
41,,D-2,002,8.17.21,13:21,13:53,28/28,70,Homstead,Y,CB,41,0.069,N,,
174,,D-3,002,8.17.21,12:22,13:53,28/28,70,Lake Wales,Y,B,174,0.031,N,,
39,,D-4,002,8.17.21,13:23,13:53,28/28,70,Homstead,Y,B,39,0.052,N,,
