ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
308,,,M,Plantation Key,Founder's,K. elegans,N,,0.357011206,
171,,,F,Lake Wales,Alley,K. elegans,N,,0.881793954,
244,,,M,Lake Place,Sheriff's,K. elegans,N,,0.470717104,
336,,,M,Plantation Key,Founder's,K. elegans,N,,0.252644497,
131,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.311505852,
221,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.318260892,
200,,,M,Leesburg,Vet's Park,K. elegans,N,,0.475400927,
25,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.289127179,
50,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.153017264,
102,,,F,Plantation Key,Founder's,C. corindum,N,,0.122896737,
258,,,M,Lake Place,Sheriff's,K. elegans,N,,0.649042682,
192,,,M,Leesburg,Vet's Park,K. elegans,N,,0.608776074,
108,,,M,Plantation Key,Founder's,C. corindum,N,,0.283014921,
332,,,M,Plantation Key,Founder's,K. elegans,N,,0.123125318,
188,,,F,Leesburg,Vet's Park,K. elegans,N,,0.807829386,
213,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.936294191,
89,,,F,Leesburg,Vet's Park,K. elegans,N,,0.330340635,
169,,,F,Lake Wales,Alley,K. elegans,N,,0.14108421,
39,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.401184587,
15,,,M,Key Largo,JP Grove,C. corindum,N,,0.967894043,
144,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.443609475,
348,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.08159963,
325,,,M,Plantation Key,Founder's,K. elegans,N,,0.629851296,
24,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.542257323,
246,,,M,Lake Place,Sheriff's,K. elegans,N,,0.176822019,
103,,,F,Plantation Key,Founder's,C. corindum,N,,0.766709609,
347,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.417411769,
260,,,M,Lake Place,Sheriff's,K. elegans,N,,0.464024634,
198,,,F,Leesburg,Vet's Park,K. elegans,N,,0.915418641,
338,,,F,Plantation Key,Founder's,K. elegans,N,,0.714121268,
233,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.813347154,
358,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.640332477,
353,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.974192961,
