"ID","died","date_died","sex","population","site","host_plant","S_wing","notes"
123,"Y","8.19.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
124,"Y","9.17.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
125,"Y","9.8.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
126,"Y","9.17.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
127,"Y","9.24.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
128,"Y","9.8.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
129,"Y","9.24.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
130,"Y","9.8.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
131,"Y","9.11.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
132,"Y","9.7.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
133,"Y","8.25.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
134,"Y","9.8.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
135,"Y","8.30.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
136,"Y","9.8.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
137,"Y","9.24.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
138,"Y","9.24.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
139,"Y","9.22.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
140,"Y","9.17.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
141,"Y","9.8.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
142,"Y","9.21.21","M","Homestead","296st&Roberts ","K. elegans","N",NA
143,"Y","9.7.21","M","Homestead","296st&Roberts ","K. elegans","N","death date assumption"
144,"Y","9.11.21","F","Homestead","296st&Roberts ","K. elegans","N",NA
145,"Y","9.7.21","F","Homestead","296st&Roberts ","K. elegans","N","death date assumption"
146,"Y","8.19.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
147,"Y","9.17.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
148,"Y","9.7.32","F","Lake Placid","Sheriff's","K. elegans","N",NA
149,"Y","9.17.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
150,"Y","9.16.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
151,"Y","9.17.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
152,"Y","8.26.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
153,"Y","9.8.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
154,"Y","9.17.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
155,"Y","9.11.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
156,"Y","9.01.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
157,"Y","9.21.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
158,"Y","8.23.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
159,"Y","8.23.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
160,"Y","9.21.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
161,"Y","8.29.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
162,"Y","8.29.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
163,"Y","8.16.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
164,"Y","9.21.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
165,"Y","8.18.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
166,"Y","8.30.21","F","Lake Wales","Alley","K. elegans","N",NA
167,"Y","8.16.21","M","Lake Wales","Alley","K. elegans","N",NA
168,"Y","9.7.21","M","Lake Wales","Alley","K. elegans","N","death date assumption"
169,"Y","9.11.21","F","Lake Wales","Alley","K. elegans","N",NA
170,"Y","9.8.21","M","Lake Wales","Alley","K. elegans","N",NA
171,"Y","9.11.21","F","Lake Wales","Alley","K. elegans","N",NA
172,"Y","9.7.21","F","Lake Wales","Alley","K. elegans","N",NA
173,"Y","8.30.21","M","Lake Wales","Alley","K. elegans","N",NA
174,"Y","8.29.21","M","Lake Wales","Alley","K. elegans","N",NA
175,"Y","8.31.21","M","Lake Wales","Alley","K. elegans","N",NA
176,"Y","9.24.21","F","Leesburg","Vet's Park","K. elegans","N",NA
177,"Y","8.29.21","F","Leesburg","Vet's Park","K. elegans","N",NA
178,"Y","8.25.21","M","Leesburg","Vet's Park","K. elegans","N",NA
179,"Y","8.24.21","F","Leesburg","Vet's Park","K. elegans","N",NA
180,"Y","8.17.21","F","Leesburg","Vet's Park","K. elegans","N",NA
181,"Y","8.29.21","M","Leesburg","Vet's Park","K. elegans","N",NA
182,"Y","9.16.21","F","Leesburg","Vet's Park","K. elegans","N",NA
183,"Y","9.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
184,"Y","9.8.21","F","Leesburg","Vet's Park","K. elegans","N",NA
185,"Y","8.19.21","M","Leesburg","Vet's Park","K. elegans","N",NA
186,"Y","8.23.21","M","Leesburg","Vet's Park","K. elegans","N",NA
187,"Y","9.7.21","F","Leesburg","Vet's Park","K. elegans","N",NA
188,"Y","9.11.21","F","Leesburg","Vet's Park","K. elegans","N",NA
189,"Y","8.19.21","F","Leesburg","Vet's Park","K. elegans","N",NA
190,"Y","9.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
191,"Y","9.22.21","F","Leesburg","Vet's Park","K. elegans","N",NA
192,"Y","9.11.21","M","Leesburg","Vet's Park","K. elegans","N",NA
193,"Y","9.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
194,"Y","9.8.21","F","Leesburg","Vet's Park","K. elegans","N",NA
195,"Y","8.29.21","M","Leesburg","Vet's Park","K. elegans","N",NA
196,"Y","9.7.21","M","Leesburg","Vet's Park","K. elegans","N",NA
197,"Y","8.18.21","M","Leesburg","Vet's Park","K. elegans","N",NA
198,"Y","9.7.21","F","Leesburg","Vet's Park","K. elegans","N","death date assumption"
199,"Y","8.16.21","F","Leesburg","Vet's Park","K. elegans","N",NA
200,"Y","9.24.21","M","Leesburg","Vet's Park","K. elegans","N",NA
201,"Y","9.21.21","F","Plantation Key","Founder's","C. corindum","N",NA
202,"Y","9.24.21","F","Plantation Key","Founder's","C. corindum","N",NA
203,"Y","8.23.21","F","Plantation Key","Founder's","C. corindum","N",NA
204,"Y","9.8.21","F","Plantation Key","Founder's","C. corindum","N",NA
205,"Y","9.8.21","F","Plantation Key","Founder's","C. corindum","N",NA
206,"Y","9.17.21","F","Plantation Key","Founder's","C. corindum","N",NA
207,"Y","9.17.21","M","Plantation Key","Founder's","C. corindum","N",NA
208,"Y","8.23.21","M","Plantation Key","Founder's","C. corindum","N",NA
209,"Y","9.7.21","F","Plantation Key","Founder's","C. corindum","N","death date assumption"
210,"Y","8.29.21","F","Plantation Key","Founder's","C. corindum","N",NA
211,"Y","8.29.21","F","Key Largo","JP Grove","C. corindum","N",NA
212,"Y","9.24.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
213,"Y","9.11.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
214,"Y","9.21.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
215,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
216,"Y","9.21.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
217,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
218,"Y","9.21.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
219,"Y","8.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
220,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
221,"Y","9.11.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
222,"Y","9.16.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
223,"Y","8.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
224,"Y","9.16.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
225,"Y","9.24.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
226,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
227,"Y","9.17.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
228,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
229,"Y","9.16.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
230,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
231,"Y","9.21.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
232,"Y","9.7.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
233,"Y","9.16.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
234,"Y","9.8.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
235,"Y","8.29.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
236,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
237,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
238,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
239,"Y","9.16.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
240,"Y","9.21.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
241,"Y","9.24.21","M","Lake Place","Sheriff's","K. elegans","N",NA
242,"Y","8.24.21","F","Lake Place","Sheriff's","K. elegans","N",NA
243,"Y","8.20.21","M","Lake Place","Sheriff's","K. elegans","N",NA
