ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
125,set005-2-21-2020-B2_125.txt,T1,B-2,B,2,5,0.19616382521493200,3027.950000000000,584.3190000000050,0.0,1266.3,0.6701154131303180,4518.55,0.3110396039603960,2020-02-21,8:28:00,09:30:00,3720.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.043,N,25.1820931,-80.36319380000000,,5.91,3.22,8.43,11.41,L,,yes
306,set005-2-21-2020-B2_306.txt,T1,B-2,B,2,5,0.22185389162892200,5180.670000000000,1099.5249999999900,0.0,5180.670000000000,0.4126067720881340,12555.950000000000,0.4552898550724280,2020-02-21,9:42:00,13:12:00,12600.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,C,BUG: flying in place at 10:23 - look at windaq file to see what flying-in-place motion looks like; time_end from windaq file,0.041000000000000000,N,24.96424,-80.5673321,,6.25,3.16,8.57,11.73,L,,yes
109,set005-2-21-2020-B3_109.txt,T1,B-3,B,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1713.2300000000000,0.0,2020-02-21,10:50:00,11:20:00,1800.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.053,Y,24.96424,-80.5673321,7.0,6.76,3.59,9.29,12.87,L,,yes
321,set005-2-21-2020-B3_321.txt,T1,B-3,B,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1894.75,0.0,2020-02-21,10:19:00,10:49:00,1800.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.05,Y,25.27348850000000,-80.3040957,9.0,9.17,3.73,9.38,12.86,L,,yes
332,set005-2-21-2020-B3_332.txt,T1,B-3,B,3,5,0.22197324720654600,2458.0200000000000,530.2852000000080,0.0,2458.0200000000000,0.5760223845445410,4267.23,0.3926875000000220,2020-02-21,9:08:00,09:57:00,2940.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.029000000000000000,N,25.19515,-80.345916,4.0,5.84,2.87,7.55,10.62,L,,yes
389,set005-2-21-2020-B3_389.txt,T1,B-3,B,3,5,0.0,0.0,1.2566,0.0,0.0,0.0,2479.27,0.0,2020-02-21,8:28:00,09:00:00,1920.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.105,N,24.96424,-80.5673321,57.0,7.21,3.59,10.02,13.53,L,wings torn at the end,yes
248,set005-2-21-2020-B4_248.txt,T1,B-4,B,4,5,0.2441429960636670,3553.4000000000000,822.4446999999930,0.0,3553.4000000000000,0.9121971130273170,3895.43,1.2822448979597500,2020-02-21,9:43:00,10:48:00,3900.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.037000000000000000,N,25.1820931,-80.36319380000000,,6.35,3.17,8.53,11.52,L,,yes
41,set005-2-21-2020-B4_41.txt,T1,B-4,B,4,5,0.0,0.0,0.6283,0.0,0.0,0.0,2049.51,0.0,2020-02-21,9:08:00,09:39:00,1860.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,DATA COL: did not fly from the windaq file but recording also had voltage problem,0.122,Y,25.491362,-80.485821,255.0,7.47,3.82,9.66,13.31,L,,yes
91,set005-2-21-2020-B4_91.txt,T1,B-4,B,4,5,0.0,0.0,0.6283,0.0,0.0,0.0,2489.55,0.0,2020-02-21,8:28:00,09:00:00,1920.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.079,Y,25.286747000000000,-80.290592,114.0,6.99,3.17,7.17,10.93,LS,,yes
294,set006-2-24-2020-A1_294.txt,T1,A-1,A,1,6,0.1465398812779840,19.150000000001400,8.167900000000000,0.0,9.450000000000730,0.008340773971559250,2295.9500000000000,0.18643916913932100,2020-02-24,14:15:00,14:50:00,2100.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,B,,0.033,N,29.66200224,-82.347313,,5.23,3.08,8.14,11.03,L,,yes
